episode,stage,target,dialect,instruction,start_step,end_step,length,mean_ax,mean_ay
13,3,depot,gemma,take the payload to the depot,63,80,18,0.4378034077024928,-0.7628929689841738
14,0,cobalt,qwen,travel to blue cobalt,0,15,16,0.47128515330512943,0.4327471749385366
14,1,amber,qwen,navigate to orange amber,16,34,19,-1.0503575618342025,-0.168464044203061
14,2,mint,qwen,proceed to green mint,35,65,31,1.4069847519885361,-1.0531559057665718
14,3,depot,qwen,finish at the delivery bay,66,84,19,-1.0866264147578089,0.1880571504692927
15,0,cobalt,gpt,reach the cool cobalt marker,0,14,15,0.5365047407951953,0.4587598838257151
15,1,mint,gpt,seek the mint-green marker,15,32,18,-0.24222390966789803,-0.9657202564403051
15,2,depot,gpt,return to the dropoff depot,33,51,19,-0.9047618071543226,0.34528172083228464
16,0,mint,canonical,go to the mint station,0,14,15,0.39593851671602354,-0.5025154307863577
16,1,amber,canonical,go to the amber station,15,37,23,-1.1519155011265283,1.0334776413108253
16,2,depot,canonical,deliver at the depot,38,56,19,0.39218198332244025,-1.0653733197909288
17,0,amber,gemma,head toward the amber beacon,0,15,16,-0.6514417468613236,0.46978540140195213
17,1,mint,gemma,move to the mint terminal,16,49,34,1.3892288802136046,-1.2769794559585605
17,2,cobalt,gemma,approach the cobalt beacon,50,67,18,-0.22844946645890982,0.9802818665963946
17,3,depot,gemma,take the payload to the depot,68,101,34,-1.3595566306099371,-1.34294539771807
18,0,mint,qwen,proceed to green mint,0,15,16,0.6280593779629241,-0.4273052741309191
18,1,cobalt,qwen,travel to blue cobalt,16,33,18,-0.2693147909817047,0.980630057904018
18,2,amber,qwen,navigate to orange amber,34,52,19,-0.9463466807324835,-0.3556032538170006
18,3,depot,qwen,finish at the delivery bay,53,70,18,0.4193451127749244,-0.7538200617516554
19,0,amber,gpt,visit the warm amber marker,0,15,16,-0.6624416806396145,0.3896752656574544
19,1,cobalt,gpt,reach the cool cobalt marker,16,34,19,1.136316938234127,-0.17338701608791257
19,2,depot,gpt,return to the dropoff depot,35,100,66,-1.1673825359057728,-0.8501860845873341
20,0,amber,canonical,go to the amber station,0,27,28,-0.6346265961257795,0.849665775732389
20,1,mint,canonical,go to the mint station,28,50,23,1.0385928576976742,-0.9182318004303885
20,2,cobalt,canonical,go to the cobalt station,51,69,19,-0.3206441780226639,0.9843896537123834
20,3,depot,canonical,deliver at the depot,70,96,27,-1.2074101142084221,-1.3117699425898695
21,0,amber,gemma,head toward the amber beacon,0,15,16,-0.6236978138915363,0.46425086498323276
21,1,mint,gemma,move to the mint terminal,16,39,24,1.111516029433164,-0.991902320189671
21,2,cobalt,gemma,approach the cobalt beacon,40,58,19,-0.2932093202936529,1.0191507088568919
21,3,depot,gemma,take the payload to the depot,59,132,74,-1.1176510995915585,-1.1794940510113563
22,0,cobalt,qwen,travel to blue cobalt,0,15,16,0.6421004263335354,0.38969559147780336
22,1,amber,qwen,navigate to orange amber,16,34,19,-1.1092492006597023,-0.14436053664970372
22,2,mint,qwen,proceed to green mint,35,58,24,1.2460144973497878,-0.8411594764114326
22,3,depot,qwen,finish at the delivery bay,59,78,20,-1.078144794965625,0.1941014131208768
23,0,mint,gpt,seek the mint-green marker,0,16,17,0.7161554478454357,-0.5425845653112037
23,1,cobalt,gpt,reach the cool cobalt marker,17,34,18,-0.2659075691782884,1.014097188118277
23,2,amber,gpt,visit the warm amber marker,35,53,19,-0.9622423437325199,-0.36865441772625945
23,3,depot,gpt,return to the dropoff depot,54,71,18,0.42057855793352983,-0.7840235988381068
24,0,amber,canonical,go to the amber station,0,34,35,-0.6077185817772811,0.7095059786889915
24,1,cobalt,canonical,go to the cobalt station,35,53,19,0.9574987360297101,-0.1251473213173185
24,2,depot,canonical,deliver at the depot,54,79,26,-1.3073281504289882,-0.9741269599192718
25,0,cobalt,gemma,approach the cobalt beacon,0,15,16,0.7028337839003512,0.5824888790659971
25,1,amber,gemma,head toward the amber beacon,16,34,19,-1.1041117277506671,-0.2325650359253067
25,2,mint,gemma,move to the mint terminal,35,71,37,1.6964723907482475,-1.2446578283453709
25,3,depot,gemma,take the payload to the depot,72,90,19,-1.1773054855924405,0.19207027263544607
26,0,cobalt,qwen,travel to blue cobalt,0,19,20,0.6741137139482357,0.794317507072158
26,1,mint,qwen,proceed to green mint,20,37,18,-0.15751067215417272,-1.0049925777468207
26,2,depot,qwen,finish at the delivery bay,38,55,18,-1.0211063395371829,0.3598041937932159
27,0,amber,gpt,visit the warm amber marker,0,15,16,-0.5915824488663688,0.425014759709557
27,1,mint,gpt,seek the mint-green marker,16,46,31,1.2602785277266282,-1.074710562046538
27,2,cobalt,gpt,reach the cool cobalt marker,47,64,18,-0.2411895479003664,0.9232462235455657
27,3,depot,gpt,return to the dropoff depot,65,88,24,-0.9005016898089213,-1.1067118956197677
28,0,cobalt,canonical,go to the cobalt station,0,14,15,0.5292322254715333,0.450796803844216
28,1,mint,canonical,go to the mint station,15,32,18,-0.21044838821464648,-1.007995560827153
28,2,depot,canonical,deliver at the depot,33,51,19,-0.9368799412489518,0.34806285248335905
29,0,amber,gemma,head toward the amber beacon,0,32,33,-0.8506278412215463,0.774982334622708
29,1,mint,gemma,move to the mint terminal,33,55,23,1.0657327888924073,-0.9834664073197658
29,2,cobalt,gemma,approach the cobalt beacon,56,74,19,-0.32636341024976817,1.0262289628991987
29,3,depot,gemma,take the payload to the depot,75,112,38,-1.033269426902741,-1.2392660204435315
30,0,cobalt,qwen,travel to blue cobalt,0,15,16,0.3652189112139484,0.6306484543507723
30,1,mint,qwen,proceed to green mint,16,33,18,-0.1519247847627866,-1.0827876861320784
30,2,depot,qwen,finish at the delivery bay,34,52,19,-0.8813074106227553,0.3490912470414924
31,0,cobalt,gpt,reach the cool cobalt marker,0,27,28,0.6590288537393084,0.640390749424614
31,1,mint,gpt,seek the mint-green marker,28,45,18,-0.07713793815001013,-0.9318675687241639
31,2,depot,gpt,return to the dropoff depot,46,64,19,-0.9148733681729061,0.37314205416704044
32,0,amber,canonical,go to the amber station,0,14,15,-0.5846155885943075,0.4335800405691302
32,1,cobalt,canonical,go to the cobalt station,15,33,19,1.05262828986013,-0.16933381765356437
32,2,depot,canonical,deliver at the depot,34,57,24,-1.2144199825893105,-0.8374629822456544
33,0,mint,gemma,move to the mint terminal,0,37,38,0.6698750968399336,-0.7341515601904206
33,1,cobalt,gemma,approach the cobalt beacon,38,55,18,-0.1233692111294838,0.840523520519332
33,2,amber,gemma,head toward the amber beacon,56,74,19,-0.9349598910602217,-0.34080639828349046
33,3,depot,gemma,take the payload to the depot,75,92,18,0.413135771121828,-0.7618261834378609
34,0,mint,qwen,proceed to green mint,0,15,16,0.4443207546600025,-0.47787685438524824
34,1,amber,qwen,navigate to orange amber,16,53,38,-1.1098498423535768,0.9443379754811788
34,2,depot,qwen,finish at the delivery bay,54,71,18,0.11942886400928843,-0.9083011966299946
35,0,amber,gpt,visit the warm amber marker,0,15,16,-0.6035705649506139,0.5737662789250771
35,1,mint,gpt,seek the mint-green marker,16,55,40,1.7423174357135445,-1.3834588805802384
35,2,cobalt,gpt,reach the cool cobalt marker,56,73,18,-0.21479146534005877,0.9914400783085645
35,3,depot,gpt,return to the dropoff depot,74,108,35,-1.4349215303623226,-1.3530038178766064
36,0,cobalt,canonical,go to the cobalt station,0,15,16,0.41702028864696244,0.6092578616654115
36,1,mint,canonical,go to the mint station,16,33,18,-0.17694259793679953,-1.0753118127884322
36,2,depot,canonical,deliver at the depot,34,51,18,-1.0233901810599724,0.3671444342141183
37,0,cobalt,gemma,approach the cobalt beacon,0,15,16,0.6029466513061413,0.4289102581477866
37,1,mint,gemma,move to the mint terminal,16,33,18,-0.2551467125683161,-0.988667546008288
37,2,depot,gemma,take the payload to the depot,34,52,19,-0.9105018028888383,0.3519310688701865
38,0,amber,qwen,navigate to orange amber,0,22,23,-0.9812299440925851,0.5073282645853102
38,1,mint,qwen,proceed to green mint,23,53,31,1.1198609593558493,-1.0347942731164514
38,2,cobalt,qwen,travel to blue cobalt,54,71,18,-0.20063945393278448,0.9876146301576004
38,3,depot,qwen,finish at the delivery bay,72,107,36,-1.222722675238129,-1.3043208442989567
39,0,amber,gpt,visit the warm amber marker,0,15,16,-0.48772048300759263,0.6061361805999221
39,1,cobalt,gpt,reach the cool cobalt marker,16,34,19,1.0553829159447519,-0.28968606836307237
39,2,depot,gpt,return to the dropoff depot,35,58,24,-1.240936693432914,-0.7985611586656738
40,0,mint,canonical,go to the mint station,0,15,16,0.6013577031942581,-0.5526644104453143
40,1,cobalt,canonical,go to the cobalt station,16,33,18,-0.28909747243292466,1.0223483093964436
40,2,amber,canonical,go to the amber station,34,51,18,-1.0183824898675777,-0.36896666192706556
40,3,depot,canonical,deliver at the depot,52,69,18,0.4717584677378832,-0.7987181471869609
41,0,mint,gemma,move to the mint terminal,0,13,14,0.6299383105292345,-0.49916817440830025
41,1,amber,gemma,head toward the amber beacon,14,42,29,-1.4210890786339327,1.2983929399822882
41,2,depot,gemma,take the payload to the depot,43,61,19,0.37769565482165957,-0.9978493905870292
42,0,cobalt,qwen,travel to blue cobalt,0,15,16,0.6783212073080999,0.5070018322136418
42,1,amber,qwen,navigate to orange amber,16,34,19,-1.084842909051109,-0.20585832697372025
42,2,mint,qwen,proceed to green mint,35,66,32,1.5052257245176488,-1.1122146153383097
42,3,depot,qwen,finish at the delivery bay,67,85,19,-1.066108219454573,0.18476108360221047
43,0,mint,gpt,seek the mint-green marker,0,23,24,0.9389832785925849,-1.1657325222999606
43,1,cobalt,gpt,reach the cool cobalt marker,24,41,18,-0.2401548203297937,0.9947272076287348
43,2,amber,gpt,visit the warm amber marker,42,60,19,-0.9225680670539936,-0.36651955343878223
43,3,depot,gpt,return to the dropoff depot,61,78,18,0.411949974906632,-0.7534498379674188
44,0,cobalt,canonical,go to the cobalt station,0,14,15,0.4956250846316603,0.4607701016055158
44,1,amber,canonical,go to the amber station,15,33,19,-1.0624991149374006,-0.18837917318887046
44,2,mint,canonical,go to the mint station,34,62,29,1.5339542275663163,-1.0549890833984308
44,3,depot,canonical,deliver at the depot,63,81,19,-1.158759432879218,0.20369081549033377
45,0,cobalt,gemma,approach the cobalt beacon,0,12,13,0.5783263882156334,0.5236295395735463
45,1,mint,gemma,move to the mint terminal,13,30,18,-0.22857815778836754,-0.977166915216525
45,2,depot,gemma,take the payload to the depot,31,49,19,-0.9177415933476898,0.3675508223586981
46,0,cobalt,qwen,travel to blue cobalt,0,19,20,0.7881246878349899,0.6293298377686648
46,1,mint,qwen,proceed to green mint,20,37,18,-0.16907756939968405,-0.9123878977704634
46,2,depot,qwen,finish at the delivery bay,38,56,19,-0.8743204156499736,0.3372849034385385
47,0,mint,gpt,seek the mint-green marker,0,15,16,0.5952183154735274,-0.44639327515833715
47,1,amber,gpt,visit the warm amber marker,16,39,24,-1.0871441281103376,0.9701165917476923
47,2,depot,gpt,return to the dropoff depot,40,58,19,0.31042797369264796,-1.0169393808144076
48,0,mint,canonical,go to the mint station,0,15,16,0.487221738101015,-0.3497997141334911
48,1,cobalt,canonical,go to the cobalt station,16,33,18,-0.21227639566337697,0.9621427937666529
48,2,amber,canonical,go to the amber station,34,52,19,-0.8683451026134534,-0.3292082210501129
48,3,depot,canonical,deliver at the depot,53,70,18,0.38236191819975424,-0.806659625045854
49,0,amber,gemma,head toward the amber beacon,0,22,23,-1.2091945793536032,0.8079175866446555
49,1,cobalt,gemma,approach the cobalt beacon,23,40,18,1.1154660217845034,-0.1891315754752108
49,2,depot,gemma,take the payload to the depot,41,71,31,-1.4082976583480944,-1.0545234647034525
50,0,cobalt,qwen,travel to blue cobalt,0,16,17,0.5627523814550992,0.49990453269232377
50,1,amber,qwen,navigate to orange amber,17,35,19,-1.0361446351750718,-0.24109115089379762
50,2,mint,qwen,proceed to green mint,36,66,31,1.5484446361184483,-1.2284746116852356
50,3,depot,qwen,finish at the delivery bay,67,85,19,-1.0984667547618898,0.19619282077763223
51,0,mint,gpt,seek the mint-green marker,0,15,16,0.44640774652009413,-0.5140149229140508
51,1,cobalt,gpt,reach the cool cobalt marker,16,33,18,-0.1945818797142083,1.0200220179440254
51,2,amber,gpt,visit the warm amber marker,34,52,19,-0.860698045647165,-0.34596283267292877
51,3,depot,gpt,return to the dropoff depot,53,70,18,0.3874080210452856,-0.7973971425256582
52,0,cobalt,canonical,go to the cobalt station,0,22,23,1.0231181922345107,0.9359849049932829
52,1,amber,canonical,go to the amber station,23,40,18,-1.1209494554121058,-0.18677509353299618
52,2,mint,canonical,go to the mint station,41,74,34,1.2390635603795876,-0.88045731210938
52,3,depot,canonical,deliver at the depot,75,92,18,-1.0569761855547017,0.11296157318410043
53,0,cobalt,gemma,approach the cobalt beacon,0,15,16,0.5857771485733648,0.5391834251454839
53,1,amber,gemma,head toward the amber beacon,16,34,19,-1.0386859292901167,-0.2798092106895132
53,2,mint,gemma,move to the mint terminal,35,58,24,1.2826281942561857,-0.8260607229656323
53,3,depot,gemma,take the payload to the depot,59,77,19,-1.1975162718233672,0.22849548447282883
54,0,cobalt,qwen,travel to blue cobalt,0,15,16,0.5302253638962108,0.4267577925851743
54,1,amber,qwen,navigate to orange amber,16,34,19,-1.0414171915632415,-0.18138364373630098
54,2,mint,qwen,proceed to green mint,35,60,26,1.3404305132063816,-0.9569836048351156
54,3,depot,qwen,finish at the delivery bay,61,79,19,-1.1369565843169376,0.22453720457703516
55,0,cobalt,gpt,reach the cool cobalt marker,0,17,18,0.7251375458458148,0.4807175365343341
55,1,mint,gpt,seek the mint-green marker,18,35,18,-0.23235860496059818,-0.9278298985073187
55,2,depot,gpt,return to the dropoff depot,36,53,18,-0.971877412413153,0.3651356576707161
56,0,mint,canonical,go to the mint station,0,15,16,0.6502822064389788,-0.42304848248495663
56,1,amber,canonical,go to the amber station,16,53,38,-1.4738451853588725,1.0021840379699285
56,2,depot,canonical,deliver at the depot,54,71,18,0.16402629166576244,-0.9644656337201442
57,0,amber,gemma,head toward the amber beacon,0,19,20,-1.00729112599987,0.7564579780429606
57,1,mint,gemma,move to the mint terminal,20,50,31,1.2635852971255521,-1.20413584635704
57,2,cobalt,gemma,approach the cobalt beacon,51,68,18,-0.20088988581806108,0.9539457776605587
57,3,depot,gemma,take the payload to the depot,69,92,24,-0.9033046173571376,-1.103192902823622
58,0,mint,qwen,proceed to green mint,0,15,16,0.5016450918633422,-0.44030656417377556
58,1,cobalt,qwen,travel to blue cobalt,16,34,19,-0.20089541513825332,0.9051429541756858
58,2,amber,qwen,navigate to orange amber,35,53,19,-0.9568546051426099,-0.30693723215134644
58,3,depot,qwen,finish at the delivery bay,54,71,18,0.4118870771111386,-0.7542653082094737
59,0,mint,gpt,seek the mint-green marker,0,15,16,0.4747020102637408,-0.5123045708946217
59,1,cobalt,gpt,reach the cool cobalt marker,16,34,19,-0.21662699263893534,0.9639920711463457
59,2,amber,gpt,visit the warm amber marker,35,53,19,-0.8793793433973331,-0.298011380386127
59,3,depot,gpt,return to the dropoff depot,54,71,18,0.3760920861799951,-0.7689940610306784
60,0,mint,canonical,go to the mint station,0,15,16,0.4419223666868585,-0.5062392945443752
60,1,cobalt,canonical,go to the cobalt station,16,33,18,-0.1710545435191904,0.9952096709785648
60,2,amber,canonical,go to the amber station,34,52,19,-0.8710891060278845,-0.3403704207928235
60,3,depot,canonical,deliver at the depot,53,70,18,0.39881134476938757,-0.7932582355511542
61,0,cobalt,gemma,approach the cobalt beacon,0,15,16,0.5763774104965688,0.38902670329150957
61,1,amber,gemma,head toward the amber beacon,16,34,19,-1.0769176402903398,-0.12299763376452756
61,2,mint,gemma,move to the mint terminal,35,65,31,1.6257394029000531,-1.1372005481382332
61,3,depot,gemma,take the payload to the depot,66,84,19,-1.0973612740776841,0.23366384232864004
62,0,mint,qwen,proceed to green mint,0,23,24,0.5569978804001169,-0.5864773001070469
62,1,amber,qwen,navigate to orange amber,24,61,38,-1.5852241319116758,1.385016012553853
62,2,depot,qwen,finish at the delivery bay,62,79,18,0.22701135268893358,-0.962999686390115
63,0,cobalt,gpt,reach the cool cobalt marker,0,44,45,0.6293687395191199,0.8156597298575851
63,1,amber,gpt,visit the warm amber marker,45,62,18,-1.0324728071130038,-0.048633209047994376
63,2,mint,gpt,seek the mint-green marker,63,91,29,1.4562603282912296,-1.198680004531895
63,3,depot,gpt,return to the dropoff depot,92,111,20,-1.0500156009521175,0.19624908036755928
64,0,mint,canonical,go to the mint station,0,15,16,0.45997570426723344,-0.559820452833481
64,1,amber,canonical,go to the amber station,16,39,24,-1.0907874287838686,1.0184691658701024
64,2,depot,canonical,deliver at the depot,40,58,19,0.30127243758776806,-1.0220752386636516
65,0,mint,gemma,move to the mint terminal,0,29,30,0.7647291895497393,-0.6836108482055926
65,1,cobalt,gemma,approach the cobalt beacon,30,47,18,-0.13827483578425104,0.921355716845353
65,2,amber,gemma,head toward the amber beacon,48,66,19,-0.8647088851815713,-0.33331270915006533
65,3,depot,gemma,take the payload to the depot,67,84,18,0.37657805356713775,-0.7696063942203438
66,0,amber,qwen,navigate to orange amber,0,17,18,-0.4093175372498652,0.5339257664345417
66,1,cobalt,qwen,travel to blue cobalt,18,36,19,1.09853238926862,-0.20642088443953266
66,2,depot,qwen,finish at the delivery bay,37,88,52,-1.391266203449657,-1.0323442597855488
67,0,amber,gpt,visit the warm amber marker,0,15,16,-0.5404700915711939,0.6126806494654231
67,1,mint,gpt,seek the mint-green marker,16,51,36,1.4548890854424634,-1.3824062019143257
67,2,cobalt,gpt,reach the cool cobalt marker,52,69,18,-0.22603852866382898,0.9661614808779245
67,3,depot,gpt,return to the dropoff depot,70,93,24,-0.9216319200805295,-1.1085542079543111
68,0,amber,canonical,go to the amber station,0,15,16,-0.577934699807914,0.5273453283869659
68,1,mint,canonical,go to the mint station,16,54,39,1.3669201673896174,-1.3129779603572953
68,2,cobalt,canonical,go to the cobalt station,55,72,18,-0.1594188235299395,0.956570800327918
68,3,depot,canonical,deliver at the depot,73,112,40,-1.3919182592100632,-1.3473488925941224
69,0,cobalt,gemma,approach the cobalt beacon,0,15,16,0.389809473568823,0.5891590380071419
69,1,amber,gemma,head toward the amber beacon,16,34,19,-0.9912095607392294,-0.2620316596356734
69,2,mint,gemma,move to the mint terminal,35,59,25,1.211734428200651,-0.8261748497997091
69,3,depot,gemma,take the payload to the depot,60,78,19,-1.126558583456697,0.21474429332848308
70,0,amber,qwen,navigate to orange amber,0,19,20,-0.5842182647648918,0.48820806189139426
70,1,mint,qwen,proceed to green mint,20,79,60,1.3703418905549418,-1.2724443772652057
70,2,cobalt,qwen,travel to blue cobalt,80,97,18,-0.12959551622295562,0.9247864985445476
70,3,depot,qwen,finish at the delivery bay,98,127,30,-1.0624085411364124,-1.281342199387685
71,0,cobalt,gpt,reach the cool cobalt marker,0,16,17,0.3984294919638404,0.4396731473981622
71,1,mint,gpt,seek the mint-green marker,17,34,18,-0.21320097481628783,-0.9541327329311318
71,2,depot,gpt,return to the dropoff depot,35,53,19,-0.8848166090268221,0.32922675535760587
72,0,mint,canonical,go to the mint station,0,15,16,0.6141003126618363,-0.6342688204550375
72,1,cobalt,canonical,go to the cobalt station,16,33,18,-0.2042784842280604,1.0538670434583104
72,2,amber,canonical,go to the amber station,34,52,19,-0.915995493788484,-0.3659123625031267
72,3,depot,canonical,deliver at the depot,53,70,18,0.4178763279067119,-0.8073714325970653
73,0,amber,gemma,head toward the amber beacon,0,27,28,-0.8471024609258191,0.7069064181204215
73,1,cobalt,gemma,approach the cobalt beacon,28,45,18,1.0985666038368,-0.12349959347750622
73,2,depot,gemma,take the payload to the depot,46,75,30,-1.6422033216080427,-1.1561636385225023
74,0,mint,qwen,proceed to green mint,0,15,16,0.38694352333497845,-0.4731185380773775
74,1,amber,qwen,navigate to orange amber,16,54,39,-1.1149422293870201,1.1500850849939117
74,2,depot,qwen,finish at the delivery bay,55,71,17,0.17127135891514753,-1.015006690710216
75,0,mint,gpt,seek the mint-green marker,0,16,17,0.6797229663268589,-0.4263726722500333
75,1,amber,gpt,visit the warm amber marker,17,39,23,-1.126383924386854,0.9829360343953621
75,2,depot,gpt,return to the dropoff depot,40,58,19,0.3405589534553464,-1.0484709081246906
76,0,mint,canonical,go to the mint station,0,16,17,0.5672858990825282,-0.5567099849392938
76,1,cobalt,canonical,go to the cobalt station,17,34,18,-0.28981216403973814,1.0294841609664662
76,2,amber,canonical,go to the amber station,35,53,19,-0.8956038159400107,-0.3490233755482058
76,3,depot,canonical,deliver at the depot,54,71,18,0.4014216057015088,-0.7936232549185747
77,0,mint,gemma,move to the mint terminal,0,15,16,0.6331809790079198,-0.3500640547446551
77,1,cobalt,gemma,approach the cobalt beacon,16,33,18,-0.30544718025852663,0.9666574857479817
77,2,amber,gemma,head toward the amber beacon,34,52,19,-0.886397015499306,-0.35058745115952594
77,3,depot,gemma,take the payload to the depot,53,70,18,0.41830711662271347,-0.813441921369195
78,0,amber,qwen,navigate to orange amber,0,14,15,-0.47340066362353395,0.4518908784017757
78,1,cobalt,qwen,travel to blue cobalt,15,33,19,1.0291253547766708,-0.20604371752435488
78,2,depot,qwen,finish at the delivery bay,34,57,24,-1.1927263476248093,-0.8276685620511648
79,0,mint,gpt,seek the mint-green marker,0,15,16,0.3602365842038042,-0.5318550757937119
79,1,amber,gpt,visit the warm amber marker,16,39,24,-1.037633799937103,0.9774839597950246
79,2,depot,gpt,return to the dropoff depot,40,58,19,0.3284381541149541,-1.0332576523774217
80,0,cobalt,canonical,go to the cobalt station,0,15,16,0.6644653337911112,0.36878113250876265
80,1,amber,canonical,go to the amber station,16,34,19,-1.1300113981078697,-0.15407796419619954
80,2,mint,canonical,go to the mint station,35,58,24,1.2499026851683153,-0.8484692023772252
80,3,depot,canonical,deliver at the depot,59,77,19,-1.151998577011535,0.2548946054740706
81,0,mint,gemma,move to the mint terminal,0,26,27,0.871988052316685,-0.7541121690625364
81,1,cobalt,gemma,approach the cobalt beacon,27,44,18,-0.11195584954072207,0.907720253835524
81,2,amber,gemma,head toward the amber beacon,45,63,19,-0.9422748646939132,-0.3439401152092365
81,3,depot,gemma,take the payload to the depot,64,81,18,0.4109668437408723,-0.7613249060048695
82,0,amber,qwen,navigate to orange amber,0,23,24,-0.8140401847190669,0.8954981080390761
82,1,mint,qwen,proceed to green mint,24,47,24,1.0347013816835304,-0.9136757041154674
82,2,cobalt,qwen,travel to blue cobalt,48,66,19,-0.280895594963196,0.9599211495484704
82,3,depot,qwen,finish at the delivery bay,67,111,45,-1.4431215668074178,-1.6321067297055212
83,0,cobalt,gpt,reach the cool cobalt marker,0,15,16,0.6522899182896689,0.5144639075086754
83,1,mint,gpt,seek the mint-green marker,16,33,18,-0.28686515331306783,-1.024849687827256
83,2,depot,gpt,return to the dropoff depot,34,52,19,-0.9179423105915684,0.3583428639772355
84,0,cobalt,canonical,go to the cobalt station,0,15,16,0.4866842755199114,0.5158627698733012
84,1,amber,canonical,go to the amber station,16,34,19,-1.0195223033620169,-0.17274283377556157
84,2,mint,canonical,go to the mint station,35,59,25,1.1847439930494545,-0.8206349421362455
84,3,depot,canonical,deliver at the depot,60,78,19,-1.1437968369538474,0.236746999738529
85,0,mint,gemma,move to the mint terminal,0,16,17,0.5972738917255227,-0.5481849859572661
