trial,method,label,route,success,completion_steps,completion_time_s,active_steps,idle_steps,idle_fraction,stale_instruction_errors,stale_error_fraction,wrong_instruction_errors,wrong_instruction_fraction,control_smoothness,safety_violations,planner_calls,instruction_switches,instruction_parse_failures,stage_completions,route_stages,path_length,planner_profile,planner_latency,planner_cadence,transport_delay,controller_capacity,controller_noise
4,sync_instruction,Synchronous instructions,cobalt>mint>depot,1,88,7.04,59,29,0.32954545454545453,0,0.0,0,0.0,0.44854797880162467,5,3,3,0,3,3,4.781185434508837,balanced,10,16,4,medium,0.055
4,async_online,Asynchronous online,cobalt>mint>depot,1,79,6.32,70,9,0.11392405063291139,12,0.17142857142857143,12,0.17142857142857143,0.3844636847543489,3,3,3,0,3,3,4.117276952646823,balanced,10,16,4,medium,0.055
4,oracle,Oracle planner/controller,cobalt>mint>depot,1,54,4.32,54,0,0.0,0,0.0,0,0.0,0.44525960302741013,0,3,0,0,3,3,3.969600513253709,balanced,10,16,4,medium,0.055
5,controller_only,Controller only,amber>cobalt>depot,1,61,4.88,61,0,0.0,0,0.0,1,0.01639344262295082,0.35852027761151767,3,0,0,0,3,3,4.522547149036698,balanced,10,16,4,medium,0.055
5,direct_blocking,Direct planner actions,amber>cobalt>depot,1,215,17.2,125,90,0.4186046511627907,20,0.16,34,0.272,1.2282990491212318,29,9,9,0,3,3,11.063250037423291,balanced,10,16,4,medium,0.055
5,sync_instruction,Synchronous instructions,amber>cobalt>depot,1,127,10.16,98,29,0.2283464566929134,0,0.0,0,0.0,0.29815642959754346,49,3,3,0,3,3,5.632138674848017,balanced,10,16,4,medium,0.055
5,async_online,Asynchronous online,amber>cobalt>depot,1,124,9.92,115,9,0.07258064516129033,10,0.08695652173913043,10,0.08695652173913043,0.24911868687997352,52,3,3,0,3,3,5.07304176817131,balanced,10,16,4,medium,0.055
5,oracle,Oracle planner/controller,amber>cobalt>depot,1,78,6.24,78,0,0.0,0,0.0,0,0.0,0.3416339842682488,22,3,0,0,3,3,4.462321333333557,balanced,10,16,4,medium,0.055
6,controller_only,Controller only,cobalt>amber>mint>depot,0,260,20.8,260,0,0.0,0,0.0,222,0.8538461538461538,0.381711061462817,30,0,0,0,2,4,18.200860562519242,balanced,10,16,4,medium,0.055
6,direct_blocking,Direct planner actions,cobalt>amber>mint>depot,0,260,20.8,150,110,0.4230769230769231,34,0.22666666666666666,90,0.6,1.2278975298592107,15,11,11,0,3,4,10.862220565767801,balanced,10,16,4,medium,0.055
6,sync_instruction,Synchronous instructions,cobalt>amber>mint>depot,0,260,20.8,241,19,0.07307692307692308,0,0.0,226,0.9377593360995851,0.13933935759603444,2,2,2,0,1,4,1.9118783668298425,balanced,10,16,4,medium,0.055
6,async_online,Asynchronous online,cobalt>amber>mint>depot,0,260,20.8,251,9,0.03461538461538462,6,0.02390438247011952,236,0.9402390438247012,0.13124597456998502,0,3,2,0,1,4,1.4846187628755607,balanced,10,16,4,medium,0.055
6,oracle,Oracle planner/controller,cobalt>amber>mint>depot,1,78,6.24,78,0,0.0,0,0.0,0,0.0,0.39572942158982033,0,4,0,0,4,4,5.9435442749597165,balanced,10,16,4,medium,0.055
7,controller_only,Controller only,amber>cobalt>depot,1,65,5.2,65,0,0.0,0,0.0,2,0.03076923076923077,0.43445327796198746,4,0,0,0,3,3,4.7661691974974305,balanced,10,16,4,medium,0.055
7,direct_blocking,Direct planner actions,amber>cobalt>depot,1,207,16.56,117,90,0.43478260869565216,23,0.19658119658119658,37,0.3162393162393162,1.2024406986251401,17,9,9,0,3,3,10.173182925012252,balanced,10,16,4,medium,0.055
7,sync_instruction,Synchronous instructions,amber>cobalt>depot,1,113,9.040000000000001,84,29,0.25663716814159293,0,0.0,0,0.0,0.3540792154898574,32,3,3,0,3,3,5.828387802565029,balanced,10,16,4,medium,0.055
7,async_online,Asynchronous online,amber>cobalt>depot,1,95,7.6000000000000005,86,9,0.09473684210526316,10,0.11627906976744186,10,0.11627906976744186,0.36168131413552235,15,3,3,0,3,3,5.24066295736338,balanced,10,16,4,medium,0.055
7,oracle,Oracle planner/controller,amber>cobalt>depot,1,62,4.96,62,0,0.0,0,0.0,0,0.0,0.42461356249313476,3,3,0,0,3,3,4.539142046357476,balanced,10,16,4,medium,0.055
8,controller_only,Controller only,cobalt>amber>mint>depot,0,260,20.8,260,0,0.0,0,0.0,222,0.8538461538461538,0.3580379470735444,20,0,0,0,2,4,20.22775561630262,balanced,10,16,4,medium,0.055
8,direct_blocking,Direct planner actions,cobalt>amber>mint>depot,0,260,20.8,150,110,0.4230769230769231,8,0.05333333333333334,36,0.24,1.2466462637616107,33,11,11,0,3,4,11.569232036646431,balanced,10,16,4,medium,0.055
8,sync_instruction,Synchronous instructions,cobalt>amber>mint>depot,1,140,11.200000000000001,101,39,0.2785714285714286,0,0.0,0,0.0,0.40835676420173933,21,4,4,0,4,4,7.992197438553815,balanced,10,16,4,medium,0.055
8,async_online,Asynchronous online,cobalt>amber>mint>depot,1,104,8.32,95,9,0.08653846153846154,9,0.09473684210526316,9,0.09473684210526316,0.35262094597558535,1,4,4,0,4,4,7.016750338181877,balanced,10,16,4,medium,0.055
8,oracle,Oracle planner/controller,cobalt>amber>mint>depot,1,79,6.32,79,0,0.0,0,0.0,0,0.0,0.39456649563252133,0,4,0,0,4,4,6.1928607364532295,balanced,10,16,4,medium,0.055
9,controller_only,Controller only,mint>amber>depot,0,260,20.8,260,0,0.0,0,0.0,260,1.0,0.39179529017603826,15,0,0,0,0,3,20.526948976287052,balanced,10,16,4,medium,0.055
9,direct_blocking,Direct planner actions,mint>amber>depot,1,132,10.56,72,60,0.45454545454545453,10,0.1388888888888889,24,0.3333333333333333,1.1694686769220906,3,6,6,0,3,3,8.376160041923793,balanced,10,16,4,medium,0.055
9,sync_instruction,Synchronous instructions,mint>amber>depot,1,90,7.2,61,29,0.32222222222222224,0,0.0,0,0.0,0.4082096710777681,5,3,3,0,3,3,5.788892195825606,balanced,10,16,4,medium,0.055
9,async_online,Asynchronous online,mint>amber>depot,1,74,5.92,65,9,0.12162162162162163,7,0.1076923076923077,7,0.1076923076923077,0.35777117370869504,0,3,3,0,3,3,4.7586345505985586,balanced,10,16,4,medium,0.055
9,oracle,Oracle planner/controller,mint>amber>depot,1,60,4.8,60,0,0.0,0,0.0,0,0.0,0.42031606608764904,1,3,0,0,3,3,4.254866906047336,balanced,10,16,4,medium,0.055
10,controller_only,Controller only,amber>mint>cobalt>depot,0,260,20.8,260,0,0.0,0,0.0,244,0.9384615384615385,0.40428220764649725,14,0,0,0,1,4,19.670052433337418,balanced,10,16,4,medium,0.055
10,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,0,260,20.8,150,110,0.4230769230769231,20,0.13333333333333333,76,0.5066666666666667,1.257517632460374,15,11,11,0,2,4,9.52723198472894,balanced,10,16,4,medium,0.055
10,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,173,13.84,134,39,0.2254335260115607,0,0.0,0,0.0,0.2953996737386314,60,4,4,0,4,4,8.561684946312836,balanced,10,16,4,medium,0.055
10,async_online,Asynchronous online,amber>mint>cobalt>depot,1,106,8.48,97,9,0.08490566037735849,5,0.05154639175257732,5,0.05154639175257732,0.3717358216077902,6,4,4,0,4,4,6.959881401570132,balanced,10,16,4,medium,0.055
10,oracle,Oracle planner/controller,amber>mint>cobalt>depot,1,105,8.4,105,0,0.0,0,0.0,0,0.0,0.3977208556180151,23,4,0,0,4,4,6.387107502904933,balanced,10,16,4,medium,0.055
11,controller_only,Controller only,cobalt>amber>mint>depot,0,260,20.8,260,0,0.0,0,0.0,221,0.85,0.3706019799813791,38,0,0,0,2,4,17.47884963183656,balanced,10,16,4,medium,0.055
11,direct_blocking,Direct planner actions,cobalt>amber>mint>depot,0,260,20.8,150,110,0.4230769230769231,23,0.15333333333333332,61,0.4066666666666667,1.268688809142804,60,11,11,0,3,4,9.57793059776724,balanced,10,16,4,medium,0.055
11,sync_instruction,Synchronous instructions,cobalt>amber>mint>depot,1,134,10.72,95,39,0.291044776119403,0,0.0,0,0.0,0.39594525001952635,21,4,4,0,4,4,7.536955950231079,balanced,10,16,4,medium,0.055
11,async_online,Asynchronous online,cobalt>amber>mint>depot,1,115,9.200000000000001,106,9,0.0782608695652174,10,0.09433962264150944,10,0.09433962264150944,0.339163728894923,21,4,4,0,4,4,6.352383219508866,balanced,10,16,4,medium,0.055
11,oracle,Oracle planner/controller,cobalt>amber>mint>depot,1,85,6.8,85,0,0.0,0,0.0,0,0.0,0.38490529425714226,9,4,0,0,4,4,5.80788622624559,balanced,10,16,4,medium,0.055
12,controller_only,Controller only,amber>cobalt>depot,1,67,5.36,67,0,0.0,0,0.0,1,0.014925373134328358,0.38538930870301996,5,0,0,0,3,3,4.431464842248597,balanced,10,16,4,medium,0.055
12,direct_blocking,Direct planner actions,amber>cobalt>depot,1,167,13.36,97,70,0.41916167664670656,9,0.09278350515463918,23,0.23711340206185566,1.2621324519621353,22,7,7,0,3,3,6.409128258570294,balanced,10,16,4,medium,0.055
12,sync_instruction,Synchronous instructions,amber>cobalt>depot,0,260,20.8,251,9,0.03461538461538462,0,0.0,251,1.0,0.1314369852623746,6,1,1,0,0,3,1.5045713067862596,balanced,10,16,4,medium,0.055
12,async_online,Asynchronous online,amber>cobalt>depot,0,260,20.8,251,9,0.03461538461538462,0,0.0,251,1.0,0.1314369852623746,6,2,1,0,0,3,1.5045713067862596,balanced,10,16,4,medium,0.055
12,oracle,Oracle planner/controller,amber>cobalt>depot,1,69,5.5200000000000005,69,0,0.0,0,0.0,0,0.0,0.38368913336204746,6,3,0,0,3,3,4.355968789040549,balanced,10,16,4,medium,0.055
13,controller_only,Controller only,mint>cobalt>amber>depot,0,260,20.8,260,0,0.0,0,0.0,260,1.0,0.39163240899428176,19,0,0,0,0,4,19.698403446635798,balanced,10,16,4,medium,0.055
13,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,1,260,20.8,150,110,0.4230769230769231,19,0.12666666666666668,61,0.4066666666666667,1.2540242919614768,15,11,11,0,4,4,12.15872098986265,balanced,10,16,4,medium,0.055
13,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,111,8.88,72,39,0.35135135135135137,0,0.0,0,0.0,0.4547321582862848,9,4,4,0,4,4,6.476184673493323,balanced,10,16,4,medium,0.055
13,async_online,Asynchronous online,mint>cobalt>amber>depot,1,96,7.68,87,9,0.09375,17,0.19540229885057472,17,0.19540229885057472,0.3614202219685835,0,4,4,0,4,4,5.869953013888921,balanced,10,16,4,medium,0.055
13,oracle,Oracle planner/controller,mint>cobalt>amber>depot,1,70,5.6000000000000005,70,0,0.0,0,0.0,0,0.0,0.4627399528228316,0,4,0,0,4,4,5.247075524448005,balanced,10,16,4,medium,0.055
14,controller_only,Controller only,mint>cobalt>amber>depot,0,260,20.8,260,0,0.0,0,0.0,260,1.0,0.3653973925385168,15,0,0,0,0,4,19.674975049780674,balanced,10,16,4,medium,0.055
14,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,0,260,20.8,150,110,0.4230769230769231,16,0.10666666666666667,68,0.4533333333333333,1.2286514209445971,16,11,11,0,3,4,17.207119372411057,balanced,10,16,4,medium,0.055
14,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,111,8.88,72,39,0.35135135135135137,0,0.0,0,0.0,0.4606102237870975,8,4,4,0,4,4,6.712581469426662,balanced,10,16,4,medium,0.055
14,async_online,Asynchronous online,mint>cobalt>amber>depot,1,97,7.76,88,9,0.09278350515463918,17,0.19318181818181818,17,0.19318181818181818,0.36719423548723784,0,4,4,0,4,4,6.014953128578844,balanced,10,16,4,medium,0.055
14,oracle,Oracle planner/controller,mint>cobalt>amber>depot,1,70,5.6000000000000005,70,0,0.0,0,0.0,0,0.0,0.4621706837072818,0,4,0,0,4,4,5.3902660959072275,balanced,10,16,4,medium,0.055
15,controller_only,Controller only,mint>amber>depot,0,260,20.8,260,0,0.0,0,0.0,260,1.0,0.31208148147035486,80,0,0,0,0,3,14.399200821437216,balanced,10,16,4,medium,0.055
15,direct_blocking,Direct planner actions,mint>amber>depot,1,212,16.96,122,90,0.42452830188679247,28,0.22950819672131148,42,0.3442622950819672,1.2693946839679326,14,9,9,0,3,3,11.662683939208227,balanced,10,16,4,medium,0.055
15,sync_instruction,Synchronous instructions,mint>amber>depot,1,98,7.84,69,29,0.29591836734693877,0,0.0,0,0.0,0.41082939623049114,6,3,3,0,3,3,6.002488434530738,balanced,10,16,4,medium,0.055
15,async_online,Asynchronous online,mint>amber>depot,1,83,6.640000000000001,74,9,0.10843373493975904,5,0.06756756756756757,5,0.06756756756756757,0.3655205754324119,7,3,3,0,3,3,4.888682462761409,balanced,10,16,4,medium,0.055
15,oracle,Oracle planner/controller,mint>amber>depot,1,59,4.72,59,0,0.0,0,0.0,0,0.0,0.3937639812473074,0,3,0,0,3,3,4.413693245565976,balanced,10,16,4,medium,0.055
16,controller_only,Controller only,amber>mint>cobalt>depot,0,260,20.8,260,0,0.0,0,0.0,234,0.9,0.3889608495376033,18,0,0,0,1,4,19.508601293751134,balanced,10,16,4,medium,0.055
16,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,0,260,20.8,150,110,0.4230769230769231,13,0.08666666666666667,27,0.18,1.285219798608437,35,11,11,0,3,4,11.530196923545585,balanced,10,16,4,medium,0.055
16,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,133,10.64,94,39,0.2932330827067669,0,0.0,0,0.0,0.3833535990199297,14,4,4,0,4,4,8.484248625592077,balanced,10,16,4,medium,0.055
16,async_online,Asynchronous online,amber>mint>cobalt>depot,1,108,8.64,99,9,0.08333333333333333,0,0.0,0,0.0,0.3735537574638179,13,4,4,0,4,4,6.6887472674010375,balanced,10,16,4,medium,0.055
16,oracle,Oracle planner/controller,amber>mint>cobalt>depot,1,93,7.44,93,0,0.0,0,0.0,0,0.0,0.36122342954991843,8,4,0,0,4,4,6.417589533697419,balanced,10,16,4,medium,0.055
17,controller_only,Controller only,amber>mint>cobalt>depot,0,260,20.8,260,0,0.0,0,0.0,236,0.9076923076923077,0.39922992136850416,28,0,0,0,1,4,18.73833882518825,balanced,10,16,4,medium,0.055
17,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,0,260,20.8,150,110,0.4230769230769231,20,0.13333333333333333,34,0.22666666666666666,1.227917519949389,47,11,11,0,3,4,10.870987756292243,balanced,10,16,4,medium,0.055
17,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,133,10.64,94,39,0.2932330827067669,0,0.0,0,0.0,0.3877545781372358,10,4,4,0,4,4,8.374167247226406,balanced,10,16,4,medium,0.055
17,async_online,Asynchronous online,amber>mint>cobalt>depot,1,124,9.92,115,9,0.07258064516129033,0,0.0,0,0.0,0.3699250083425968,30,4,4,0,4,4,6.32646223103235,balanced,10,16,4,medium,0.055
17,oracle,Oracle planner/controller,amber>mint>cobalt>depot,1,124,9.92,124,0,0.0,0,0.0,0,0.0,0.3511766819027304,40,4,0,0,4,4,6.173255909529344,balanced,10,16,4,medium,0.055
18,controller_only,Controller only,mint>cobalt>amber>depot,0,260,20.8,260,0,0.0,0,0.0,260,1.0,0.35761276745776693,41,0,0,0,0,4,17.33354977834552,balanced,10,16,4,medium,0.055
18,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,1,212,16.96,122,90,0.42452830188679247,23,0.1885245901639344,37,0.30327868852459017,1.2469218783763543,12,9,9,0,4,4,8.342772497667168,balanced,10,16,4,medium,0.055
18,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,109,8.72,70,39,0.3577981651376147,0,0.0,0,0.0,0.46686971416532713,9,4,4,0,4,4,6.602247521552558,balanced,10,16,4,medium,0.055
18,async_online,Asynchronous online,mint>cobalt>amber>depot,1,96,7.68,87,9,0.09375,17,0.19540229885057472,17,0.19540229885057472,0.3623305827421185,0,4,4,0,4,4,5.988097853847531,balanced,10,16,4,medium,0.055
18,oracle,Oracle planner/controller,mint>cobalt>amber>depot,1,74,5.92,74,0,0.0,0,0.0,0,0.0,0.4321222228463189,4,4,0,0,4,4,5.471775767696056,balanced,10,16,4,medium,0.055
19,controller_only,Controller only,amber>mint>cobalt>depot,0,260,20.8,260,0,0.0,0,0.0,215,0.8269230769230769,0.3702027660628714,34,0,0,0,1,4,18.61658559102667,balanced,10,16,4,medium,0.055
19,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,0,260,20.8,150,110,0.4230769230769231,15,0.1,57,0.38,1.2352931068875046,50,11,11,0,2,4,9.910643090821068,balanced,10,16,4,medium,0.055
19,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,149,11.92,110,39,0.26174496644295303,0,0.0,0,0.0,0.387223603498357,28,4,4,0,4,4,8.314556005214005,balanced,10,16,4,medium,0.055
19,async_online,Asynchronous online,amber>mint>cobalt>depot,1,130,10.4,121,9,0.06923076923076923,0,0.0,0,0.0,0.3478824877499541,32,4,4,0,4,4,6.56642562075555,balanced,10,16,4,medium,0.055
19,oracle,Oracle planner/controller,amber>mint>cobalt>depot,1,135,10.8,135,0,0.0,0,0.0,0,0.0,0.3553033611358818,44,4,0,0,4,4,6.522972401721313,balanced,10,16,4,medium,0.055
20,controller_only,Controller only,mint>cobalt>amber>depot,0,260,20.8,260,0,0.0,0,0.0,260,1.0,0.378034300615202,28,0,0,0,0,4,19.344569709868676,balanced,10,16,4,medium,0.055
20,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,0,260,20.8,150,110,0.4230769230769231,4,0.02666666666666667,60,0.4,1.218246525804134,44,11,11,0,2,4,12.047730033017823,balanced,10,16,4,medium,0.055
20,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,112,8.96,73,39,0.3482142857142857,0,0.0,0,0.0,0.4716530215768729,13,4,4,0,4,4,6.796639138717949,balanced,10,16,4,medium,0.055
20,async_online,Asynchronous online,mint>cobalt>amber>depot,1,97,7.76,88,9,0.09278350515463918,14,0.1590909090909091,14,0.1590909090909091,0.38576009053809285,3,4,4,0,4,4,6.131109134442714,balanced,10,16,4,medium,0.055
20,oracle,Oracle planner/controller,mint>cobalt>amber>depot,1,72,5.76,72,0,0.0,0,0.0,0,0.0,0.45845460632397494,0,4,0,0,4,4,5.622598247433543,balanced,10,16,4,medium,0.055
21,controller_only,Controller only,amber>cobalt>depot,1,67,5.36,67,0,0.0,0,0.0,1,0.014925373134328358,0.3836042790821204,8,0,0,0,3,3,4.40219177087571,balanced,10,16,4,medium,0.055
21,direct_blocking,Direct planner actions,amber>cobalt>depot,1,171,13.68,98,73,0.4269005847953216,8,0.08163265306122448,22,0.22448979591836735,1.2621089010431605,24,8,7,0,3,3,8.375365953767925,balanced,10,16,4,medium,0.055
21,sync_instruction,Synchronous instructions,amber>cobalt>depot,1,100,8.0,71,29,0.29,0,0.0,0,0.0,0.3731135827233481,14,3,3,0,3,3,5.4628884433988265,balanced,10,16,4,medium,0.055
21,async_online,Asynchronous online,amber>cobalt>depot,1,79,6.32,70,9,0.11392405063291139,0,0.0,0,0.0,0.3436232250806123,10,3,3,0,3,3,4.539862910796945,balanced,10,16,4,medium,0.055
21,oracle,Oracle planner/controller,amber>cobalt>depot,1,63,5.04,63,0,0.0,0,0.0,0,0.0,0.4104075019445646,3,3,0,0,3,3,4.286172966110599,balanced,10,16,4,medium,0.055
22,controller_only,Controller only,mint>amber>depot,0,260,20.8,260,0,0.0,0,0.0,260,1.0,0.37459044705265093,22,0,0,0,0,3,19.998892826097023,balanced,10,16,4,medium,0.055
22,direct_blocking,Direct planner actions,mint>amber>depot,1,234,18.72,134,100,0.42735042735042733,11,0.08208955223880597,39,0.291044776119403,1.2974534289267898,24,10,10,0,3,3,11.049004214768583,balanced,10,16,4,medium,0.055
22,sync_instruction,Synchronous instructions,mint>amber>depot,1,98,7.84,69,29,0.29591836734693877,0,0.0,0,0.0,0.420489804224491,8,3,3,0,3,3,5.697618908532789,balanced,10,16,4,medium,0.055
22,async_online,Asynchronous online,mint>amber>depot,1,74,5.92,65,9,0.12162162162162163,6,0.09230769230769231,6,0.09230769230769231,0.3494689991069015,0,3,3,0,3,3,4.744247751613647,balanced,10,16,4,medium,0.055
22,oracle,Oracle planner/controller,mint>amber>depot,1,71,5.68,71,0,0.0,0,0.0,0,0.0,0.42016382778658495,10,3,0,0,3,3,4.210680780692545,balanced,10,16,4,medium,0.055
23,controller_only,Controller only,cobalt>mint>depot,0,260,20.8,260,0,0.0,0,0.0,241,0.926923076923077,0.3832561439447871,13,0,0,0,1,3,20.471841586618144,balanced,10,16,4,medium,0.055
23,direct_blocking,Direct planner actions,cobalt>mint>depot,1,165,13.200000000000001,95,70,0.42424242424242425,17,0.17894736842105263,17,0.17894736842105263,1.249624224554933,21,7,7,0,3,3,5.98505180511142,balanced,10,16,4,medium,0.055
23,sync_instruction,Synchronous instructions,cobalt>mint>depot,1,83,6.640000000000001,54,29,0.3493975903614458,0,0.0,0,0.0,0.461210726489704,5,3,3,0,3,3,5.142648336404084,balanced,10,16,4,medium,0.055
23,async_online,Asynchronous online,cobalt>mint>depot,1,74,5.92,65,9,0.12162162162162163,11,0.16923076923076924,11,0.16923076923076924,0.37212999526969237,0,3,3,0,3,3,4.543936548516894,balanced,10,16,4,medium,0.055
23,oracle,Oracle planner/controller,cobalt>mint>depot,1,53,4.24,53,0,0.0,0,0.0,0,0.0,0.4574941666298485,0,3,0,0,3,3,4.015622834416232,balanced,10,16,4,medium,0.055
24,controller_only,Controller only,cobalt>mint>depot,0,260,20.8,260,0,0.0,0,0.0,241,0.926923076923077,0.4071584461652286,33,0,0,0,1,3,18.119677482123443,balanced,10,16,4,medium,0.055
24,direct_blocking,Direct planner actions,cobalt>mint>depot,1,144,11.52,84,60,0.4166666666666667,5,0.05952380952380952,5,0.05952380952380952,1.275795579171258,23,6,6,0,3,3,5.008084728686585,balanced,10,16,4,medium,0.055
24,sync_instruction,Synchronous instructions,cobalt>mint>depot,1,83,6.640000000000001,54,29,0.3493975903614458,0,0.0,0,0.0,0.45339645310714166,11,3,3,0,3,3,4.728511301470059,balanced,10,16,4,medium,0.055
24,async_online,Asynchronous online,cobalt>mint>depot,1,74,5.92,65,9,0.12162162162162163,12,0.18461538461538463,12,0.18461538461538463,0.37100065394952186,6,3,3,0,3,3,4.154463585172086,balanced,10,16,4,medium,0.055
24,oracle,Oracle planner/controller,cobalt>mint>depot,1,56,4.48,56,0,0.0,0,0.0,0,0.0,0.42465861975502367,4,3,0,0,3,3,3.637560101388189,balanced,10,16,4,medium,0.055
