trial,method,label,route,success,completion_steps,completion_time_s,active_steps,idle_steps,idle_fraction,stale_instruction_errors,stale_error_fraction,wrong_instruction_errors,wrong_instruction_fraction,control_smoothness,safety_violations,planner_calls,instruction_switches,instruction_parse_failures,stage_completions,route_stages,path_length,planner_profile,planner_latency,planner_cadence,transport_delay,controller_capacity,controller_noise,sweep
4,async_online,Asynchronous online,cobalt>mint>depot,1,57,4.5600000000000005,57,0,0.0,3,0.05263157894736842,3,0.05263157894736842,0.4031040965659863,0,3,3,0,3,3,4.263926220292049,balanced,0,16,4,medium,0.055,latency
5,direct_blocking,Direct planner actions,amber>cobalt>depot,1,138,11.040000000000001,128,10,0.07246376811594203,15,0.1171875,29,0.2265625,1.174961764887546,19,10,10,0,3,3,7.9509991785092495,balanced,0,16,4,medium,0.055,latency
5,sync_instruction,Synchronous instructions,amber>cobalt>depot,1,72,5.76,70,2,0.027777777777777776,0,0.0,0,0.0,0.40844817940873573,9,3,3,0,3,3,4.79184516108245,balanced,0,16,4,medium,0.055,latency
5,async_online,Asynchronous online,amber>cobalt>depot,1,72,5.76,72,0,0.0,3,0.041666666666666664,3,0.041666666666666664,0.37236993168834964,8,3,3,0,3,3,4.82066077356733,balanced,0,16,4,medium,0.055,latency
6,direct_blocking,Direct planner actions,cobalt>amber>mint>depot,1,169,13.52,157,12,0.07100591715976332,24,0.15286624203821655,66,0.42038216560509556,1.20587452336385,2,12,12,0,4,4,9.415956379775066,balanced,0,16,4,medium,0.055,latency
6,sync_instruction,Synchronous instructions,cobalt>amber>mint>depot,0,260,20.8,259,1,0.0038461538461538464,0,0.0,244,0.9420849420849421,0.13440959948209108,0,2,2,0,1,4,1.5026124610475105,balanced,0,16,4,medium,0.055,latency
6,async_online,Asynchronous online,cobalt>amber>mint>depot,0,260,20.8,260,0,0.0,3,0.011538461538461539,245,0.9423076923076923,0.13006399348978034,0,3,2,0,1,4,1.4801867461783802,balanced,0,16,4,medium,0.055,latency
7,direct_blocking,Direct planner actions,amber>cobalt>depot,1,116,9.28,108,8,0.06896551724137931,23,0.21296296296296297,37,0.3425925925925926,1.1703178476342622,5,8,8,0,3,3,6.867846898199423,balanced,0,16,4,medium,0.055,latency
7,sync_instruction,Synchronous instructions,amber>cobalt>depot,1,68,5.44,66,2,0.029411764705882353,0,0.0,0,0.0,0.42997199806558006,4,3,3,0,3,3,4.9951301920443205,balanced,0,16,4,medium,0.055,latency
7,async_online,Asynchronous online,amber>cobalt>depot,1,68,5.44,68,0,0.0,3,0.04411764705882353,3,0.04411764705882353,0.387633319846454,3,3,3,0,3,3,5.025461387152156,balanced,0,16,4,medium,0.055,latency
8,direct_blocking,Direct planner actions,cobalt>amber>mint>depot,1,173,13.84,161,12,0.06936416184971098,21,0.13043478260869565,49,0.30434782608695654,1.207828670326641,15,12,12,0,4,4,10.21943977542428,balanced,0,16,4,medium,0.055,latency
8,sync_instruction,Synchronous instructions,cobalt>amber>mint>depot,1,87,6.96,84,3,0.034482758620689655,0,0.0,0,0.0,0.41129044184778085,0,4,4,0,4,4,6.861184523256875,balanced,0,16,4,medium,0.055,latency
8,async_online,Asynchronous online,cobalt>amber>mint>depot,1,86,6.88,86,0,0.0,3,0.03488372093023256,3,0.03488372093023256,0.3585146313577545,0,4,4,0,4,4,6.753884074848957,balanced,0,16,4,medium,0.055,latency
9,direct_blocking,Direct planner actions,mint>amber>depot,1,83,6.640000000000001,77,6,0.07228915662650602,18,0.23376623376623376,18,0.23376623376623376,1.1685820346377025,1,6,6,0,3,3,5.500481100549068,balanced,0,16,4,medium,0.055,latency
9,sync_instruction,Synchronous instructions,mint>amber>depot,1,64,5.12,62,2,0.03125,0,0.0,0,0.0,0.4378411480087142,1,3,3,0,3,3,4.5999347592376445,balanced,0,16,4,medium,0.055,latency
9,async_online,Asynchronous online,mint>amber>depot,1,62,4.96,62,0,0.0,3,0.04838709677419355,3,0.04838709677419355,0.36269464225024023,0,3,3,0,3,3,4.576570681505042,balanced,0,16,4,medium,0.055,latency
10,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,1,236,18.88,220,16,0.06779661016949153,31,0.1409090909090909,101,0.4590909090909091,1.2017767472834975,23,16,16,0,4,4,11.260954166265282,balanced,0,16,4,medium,0.055,latency
10,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,110,8.8,107,3,0.02727272727272727,0,0.0,0,0.0,0.42331298667881645,20,4,4,0,4,4,6.91169801148471,balanced,0,16,4,medium,0.055,latency
10,async_online,Asynchronous online,amber>mint>cobalt>depot,1,109,8.72,109,0,0.0,3,0.027522935779816515,3,0.027522935779816515,0.37264685634969963,21,4,4,0,4,4,6.815093523109409,balanced,0,16,4,medium,0.055,latency
11,direct_blocking,Direct planner actions,cobalt>amber>mint>depot,0,260,20.8,242,18,0.06923076923076923,15,0.06198347107438017,127,0.5247933884297521,1.2218687645761326,5,18,18,0,3,4,17.401834400762954,balanced,0,16,4,medium,0.055,latency
11,sync_instruction,Synchronous instructions,cobalt>amber>mint>depot,1,93,7.44,90,3,0.03225806451612903,0,0.0,0,0.0,0.42516629866920497,9,4,4,0,4,4,6.411659906017179,balanced,0,16,4,medium,0.055,latency
11,async_online,Asynchronous online,cobalt>amber>mint>depot,1,111,8.88,111,0,0.0,3,0.02702702702702703,3,0.02702702702702703,0.3389766835252669,30,4,4,0,4,4,6.141897970470639,balanced,0,16,4,medium,0.055,latency
12,direct_blocking,Direct planner actions,amber>cobalt>depot,1,134,10.72,125,9,0.06716417910447761,18,0.144,32,0.256,1.249781931118739,35,9,9,0,3,3,6.180131318393258,balanced,0,16,4,medium,0.055,latency
12,sync_instruction,Synchronous instructions,amber>cobalt>depot,0,260,20.8,260,0,0.0,0,0.0,260,1.0,0.13255840085237236,8,1,1,0,0,3,1.4834840023356632,balanced,0,16,4,medium,0.055,latency
12,async_online,Asynchronous online,amber>cobalt>depot,0,260,20.8,260,0,0.0,0,0.0,260,1.0,0.13255840085237236,8,2,1,0,0,3,1.4834840023356632,balanced,0,16,4,medium,0.055,latency
13,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,1,155,12.4,144,11,0.07096774193548387,35,0.24305555555555555,64,0.4444444444444444,1.2085122585356098,1,11,11,0,4,4,9.792630245653317,balanced,0,16,4,medium,0.055,latency
13,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,73,5.84,70,3,0.0410958904109589,0,0.0,0,0.0,0.4566373362262664,0,4,4,0,4,4,5.601359081406797,balanced,0,16,4,medium,0.055,latency
13,async_online,Asynchronous online,mint>cobalt>amber>depot,1,73,5.84,73,0,0.0,3,0.0410958904109589,3,0.0410958904109589,0.41073553437438404,0,4,4,0,4,4,5.576304240633074,balanced,0,16,4,medium,0.055,latency
14,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,1,186,14.88,173,13,0.06989247311827956,30,0.17341040462427745,75,0.43352601156069365,1.2076730705745031,15,13,13,0,4,4,12.495425147559239,balanced,0,16,4,medium,0.055,latency
14,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,74,5.92,71,3,0.04054054054054054,0,0.0,0,0.0,0.4684290608196052,0,4,4,0,4,4,5.733576356661887,balanced,0,16,4,medium,0.055,latency
14,async_online,Asynchronous online,mint>cobalt>amber>depot,1,74,5.92,74,0,0.0,3,0.04054054054054054,3,0.04054054054054054,0.4158169531205606,0,4,4,0,4,4,5.738762064591196,balanced,0,16,4,medium,0.055,latency
15,direct_blocking,Direct planner actions,mint>amber>depot,1,93,7.44,86,7,0.07526881720430108,22,0.2558139534883721,26,0.3023255813953488,1.2335444135435651,5,7,7,0,3,3,5.816711631824083,balanced,0,16,4,medium,0.055,latency
15,sync_instruction,Synchronous instructions,mint>amber>depot,1,64,5.12,62,2,0.03125,0,0.0,0,0.0,0.4101805576061507,0,3,3,0,3,3,4.86937098488289,balanced,0,16,4,medium,0.055,latency
15,async_online,Asynchronous online,mint>amber>depot,1,69,5.5200000000000005,69,0,0.0,3,0.043478260869565216,3,0.043478260869565216,0.38533601317881144,3,3,3,0,3,3,4.712721362544847,balanced,0,16,4,medium,0.055,latency
16,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,1,153,12.24,142,11,0.0718954248366013,21,0.14788732394366197,35,0.24647887323943662,1.2260767393251826,17,11,11,0,4,4,8.761862953914795,balanced,0,16,4,medium,0.055,latency
16,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,106,8.48,103,3,0.02830188679245283,0,0.0,0,0.0,0.40384359812890613,13,4,4,0,4,4,6.917808713957085,balanced,0,16,4,medium,0.055,latency
16,async_online,Asynchronous online,amber>mint>cobalt>depot,1,95,7.6000000000000005,95,0,0.0,0,0.0,0,0.0,0.34292836796759113,8,4,4,0,4,4,6.721195781414939,balanced,0,16,4,medium,0.055,latency
17,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,1,197,15.76,183,14,0.07106598984771574,16,0.08743169398907104,30,0.16393442622950818,1.2207638982755327,25,14,14,0,4,4,11.895439792708565,balanced,0,16,4,medium,0.055,latency
17,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,103,8.24,100,3,0.02912621359223301,0,0.0,0,0.0,0.3959747540819012,14,4,4,0,4,4,6.493243845311682,balanced,0,16,4,medium,0.055,latency
17,async_online,Asynchronous online,amber>mint>cobalt>depot,1,102,8.16,102,0,0.0,0,0.0,0,0.0,0.3679345575967696,17,4,4,0,4,4,6.276254993191812,balanced,0,16,4,medium,0.055,latency
18,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,1,124,9.92,115,9,0.07258064516129033,27,0.23478260869565218,41,0.3565217391304348,1.2277807182495015,4,9,9,0,4,4,6.65448109335967,balanced,0,16,4,medium,0.055,latency
18,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,77,6.16,74,3,0.03896103896103896,0,0.0,0,0.0,0.4445802884663367,3,4,4,0,4,4,5.80653484983818,balanced,0,16,4,medium,0.055,latency
18,async_online,Asynchronous online,mint>cobalt>amber>depot,1,76,6.08,76,0,0.0,2,0.02631578947368421,2,0.02631578947368421,0.3969482386736908,3,4,4,0,4,4,5.74217663810735,balanced,0,16,4,medium,0.055,latency
19,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,1,220,17.6,205,15,0.06818181818181818,19,0.09268292682926829,47,0.22926829268292684,1.195355932649047,37,15,15,0,4,4,10.968682527989557,balanced,0,16,4,medium,0.055,latency
19,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,136,10.88,133,3,0.022058823529411766,0,0.0,0,0.0,0.3814082517622927,42,4,4,0,4,4,6.860669577482984,balanced,0,16,4,medium,0.055,latency
19,async_online,Asynchronous online,amber>mint>cobalt>depot,1,128,10.24,128,0,0.0,0,0.0,0,0.0,0.34254839360669787,38,4,4,0,4,4,6.605195552693985,balanced,0,16,4,medium,0.055,latency
20,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,0,260,20.8,242,18,0.06923076923076923,34,0.14049586776859505,123,0.5082644628099173,1.1838238624544386,26,18,18,0,3,4,16.108629019036062,balanced,0,16,4,medium,0.055,latency
20,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,76,6.08,73,3,0.039473684210526314,0,0.0,0,0.0,0.47751684179049375,0,4,4,0,4,4,6.049026430184624,balanced,0,16,4,medium,0.055,latency
20,async_online,Asynchronous online,mint>cobalt>amber>depot,1,76,6.08,76,0,0.0,3,0.039473684210526314,3,0.039473684210526314,0.4221559813052965,0,4,4,0,4,4,6.0288486780329364,balanced,0,16,4,medium,0.055,latency
21,direct_blocking,Direct planner actions,amber>cobalt>depot,1,108,8.64,100,8,0.07407407407407407,0,0.0,16,0.16,1.2011494953540227,19,8,8,0,3,3,6.054307070518735,balanced,0,16,4,medium,0.055,latency
21,sync_instruction,Synchronous instructions,amber>cobalt>depot,1,67,5.36,65,2,0.029850746268656716,0,0.0,0,0.0,0.4283520862759517,4,3,3,0,3,3,4.617709638842309,balanced,0,16,4,medium,0.055,latency
21,async_online,Asynchronous online,amber>cobalt>depot,1,67,5.36,67,0,0.0,3,0.04477611940298507,3,0.04477611940298507,0.3835731852191009,3,3,3,0,3,3,4.627632654695697,balanced,0,16,4,medium,0.055,latency
22,direct_blocking,Direct planner actions,mint>amber>depot,1,97,7.76,90,7,0.07216494845360824,16,0.17777777777777778,30,0.3333333333333333,1.1461406379566261,10,7,7,0,3,3,6.1026123299922395,balanced,0,16,4,medium,0.055,latency
22,sync_instruction,Synchronous instructions,mint>amber>depot,1,73,5.84,71,2,0.0273972602739726,0,0.0,0,0.0,0.4285570003634408,11,3,3,0,3,3,4.412492297527082,balanced,0,16,4,medium,0.055,latency
22,async_online,Asynchronous online,mint>amber>depot,1,72,5.76,72,0,0.0,3,0.041666666666666664,3,0.041666666666666664,0.3833770113004517,7,3,3,0,3,3,4.48355176436376,balanced,0,16,4,medium,0.055,latency
23,direct_blocking,Direct planner actions,cobalt>mint>depot,1,81,6.48,75,6,0.07407407407407407,22,0.29333333333333333,22,0.29333333333333333,1.2202012109611595,0,6,6,0,3,3,5.073929857059585,balanced,0,16,4,medium,0.055,latency
23,sync_instruction,Synchronous instructions,cobalt>mint>depot,1,56,4.48,54,2,0.03571428571428571,0,0.0,0,0.0,0.4598413355537898,0,3,3,0,3,3,4.323490401108569,balanced,0,16,4,medium,0.055,latency
23,async_online,Asynchronous online,cobalt>mint>depot,1,57,4.5600000000000005,57,0,0.0,3,0.05263157894736842,3,0.05263157894736842,0.4116944762072185,0,3,3,0,3,3,4.361555110587434,balanced,0,16,4,medium,0.055,latency
24,direct_blocking,Direct planner actions,cobalt>mint>depot,1,81,6.48,75,6,0.07407407407407407,13,0.17333333333333334,13,0.17333333333333334,1.2254118384434096,4,6,6,0,3,3,4.395625619852671,balanced,0,16,4,medium,0.055,latency
24,sync_instruction,Synchronous instructions,cobalt>mint>depot,1,58,4.64,56,2,0.034482758620689655,0,0.0,0,0.0,0.43742711317590993,4,3,3,0,3,3,3.884485278536551,balanced,0,16,4,medium,0.055,latency
24,async_online,Asynchronous online,cobalt>mint>depot,1,58,4.64,58,0,0.0,2,0.034482758620689655,2,0.034482758620689655,0.4004501881037249,4,3,3,0,3,3,3.8596635737896534,balanced,0,16,4,medium,0.055,latency
25,direct_blocking,Direct planner actions,cobalt>mint>depot,1,81,6.48,75,6,0.07407407407407407,22,0.29333333333333333,22,0.29333333333333333,1.2131746437327684,2,6,6,0,3,3,4.791600017328168,balanced,0,16,4,medium,0.055,latency
25,sync_instruction,Synchronous instructions,cobalt>mint>depot,1,56,4.48,54,2,0.03571428571428571,0,0.0,0,0.0,0.4620827150696503,2,3,3,0,3,3,4.196405516898973,balanced,0,16,4,medium,0.055,latency
25,async_online,Asynchronous online,cobalt>mint>depot,1,57,4.5600000000000005,57,0,0.0,3,0.05263157894736842,3,0.05263157894736842,0.4049184620814437,2,3,3,0,3,3,4.234075985257577,balanced,0,16,4,medium,0.055,latency
26,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,1,147,11.76,137,10,0.06802721088435375,35,0.25547445255474455,63,0.45985401459854014,1.2051768127843987,1,10,10,0,4,4,8.954635731642155,balanced,0,16,4,medium,0.055,latency
26,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,74,5.92,71,3,0.04054054054054054,0,0.0,0,0.0,0.4554984352583704,0,4,4,0,4,4,5.6702535832784395,balanced,0,16,4,medium,0.055,latency
26,async_online,Asynchronous online,mint>cobalt>amber>depot,1,74,5.92,74,0,0.0,3,0.04054054054054054,3,0.04054054054054054,0.4017324423742473,0,4,4,0,4,4,5.6633283569427375,balanced,0,16,4,medium,0.055,latency
27,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,1,170,13.6,158,12,0.07058823529411765,34,0.21518987341772153,63,0.3987341772151899,1.2039558602273677,11,12,12,0,4,4,10.418180295268035,balanced,0,16,4,medium,0.055,latency
27,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,99,7.92,96,3,0.030303030303030304,0,0.0,0,0.0,0.3924151525644097,7,4,4,0,4,4,7.017461431184177,balanced,0,16,4,medium,0.055,latency
27,async_online,Asynchronous online,amber>mint>cobalt>depot,1,102,8.16,102,0,0.0,3,0.029411764705882353,3,0.029411764705882353,0.32764049824001334,10,4,4,0,4,4,6.9931850009985785,balanced,0,16,4,medium,0.055,latency
28,direct_blocking,Direct planner actions,amber>cobalt>depot,1,158,12.64,147,11,0.06962025316455696,20,0.1360544217687075,48,0.32653061224489793,1.1690526423926317,14,11,11,0,3,3,9.391297853487062,balanced,0,16,4,medium,0.055,latency
28,sync_instruction,Synchronous instructions,amber>cobalt>depot,1,68,5.44,66,2,0.029411764705882353,0,0.0,0,0.0,0.4430584001714159,4,3,3,0,3,3,4.936642726823206,balanced,0,16,4,medium,0.055,latency
28,async_online,Asynchronous online,amber>cobalt>depot,1,67,5.36,67,0,0.0,3,0.04477611940298507,3,0.04477611940298507,0.4044512371865667,3,3,3,0,3,3,4.890117764082802,balanced,0,16,4,medium,0.055,latency
29,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,1,183,14.64,170,13,0.07103825136612021,29,0.17058823529411765,87,0.5117647058823529,1.2389916881567116,24,13,13,0,4,4,8.47711287959618,balanced,0,16,4,medium,0.055,latency
29,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,74,5.92,71,3,0.04054054054054054,0,0.0,0,0.0,0.46683843570554956,0,4,4,0,4,4,5.8374388403081845,balanced,0,16,4,medium,0.055,latency
29,async_online,Asynchronous online,mint>cobalt>amber>depot,1,74,5.92,74,0,0.0,3,0.04054054054054054,3,0.04054054054054054,0.4103094243990207,0,4,4,0,4,4,5.823846059770702,balanced,0,16,4,medium,0.055,latency
30,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,1,201,16.080000000000002,187,14,0.06965174129353234,21,0.11229946524064172,53,0.28342245989304815,1.2173673953651127,27,14,14,0,4,4,11.176020769692899,balanced,0,16,4,medium,0.055,latency
30,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,104,8.32,101,3,0.028846153846153848,0,0.0,0,0.0,0.41845825299247036,12,4,4,0,4,4,6.698868059730639,balanced,0,16,4,medium,0.055,latency
30,async_online,Asynchronous online,amber>mint>cobalt>depot,1,103,8.24,103,0,0.0,0,0.0,0,0.0,0.38621307405505656,14,4,4,0,4,4,6.483927175467629,balanced,0,16,4,medium,0.055,latency
31,direct_blocking,Direct planner actions,mint>amber>depot,1,109,8.72,101,8,0.07339449541284404,19,0.18811881188118812,33,0.32673267326732675,1.1943632871683056,1,8,8,0,3,3,7.292406941530768,balanced,0,16,4,medium,0.055,latency
31,sync_instruction,Synchronous instructions,mint>amber>depot,1,64,5.12,62,2,0.03125,0,0.0,0,0.0,0.41277297825136233,0,3,3,0,3,3,4.869506498516788,balanced,0,16,4,medium,0.055,latency
31,async_online,Asynchronous online,mint>amber>depot,1,64,5.12,64,0,0.0,3,0.046875,3,0.046875,0.35595113307149673,0,3,3,0,3,3,4.85215817212855,balanced,0,16,4,medium,0.055,latency
0,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,1,140,11.200000000000001,98,42,0.3,29,0.29591836734693877,15,0.15306122448979592,1.2154552418603906,4,7,7,0,4,4,7.769420211048954,balanced,6,16,4,medium,0.055,latency
0,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,0,260,20.8,249,11,0.04230769230769231,0,0.0,234,0.9397590361445783,0.13692144795412653,0,2,2,0,1,4,1.688560282741576,balanced,6,16,4,medium,0.055,latency
0,async_online,Asynchronous online,mint>cobalt>amber>depot,0,260,20.8,255,5,0.019230769230769232,6,0.023529411764705882,240,0.9411764705882353,0.1287177098703023,0,3,2,0,1,4,1.405879634081958,balanced,6,16,4,medium,0.055,latency
1,direct_blocking,Direct planner actions,mint>cobalt>amber>depot,1,237,18.96,165,72,0.3037974683544304,31,0.18787878787878787,59,0.3575757575757576,1.2469421651352497,19,12,12,0,4,4,13.662494787083205,balanced,6,16,4,medium,0.055,latency
1,sync_instruction,Synchronous instructions,mint>cobalt>amber>depot,1,95,7.6000000000000005,72,23,0.24210526315789474,0,0.0,0,0.0,0.46873704207475,7,4,4,0,4,4,6.280903299086573,balanced,6,16,4,medium,0.055,latency
1,async_online,Asynchronous online,mint>cobalt>amber>depot,1,89,7.12,84,5,0.056179775280898875,13,0.15476190476190477,13,0.15476190476190477,0.38626460936439405,5,4,4,0,4,4,5.843347576140108,balanced,6,16,4,medium,0.055,latency
2,direct_blocking,Direct planner actions,amber>mint>cobalt>depot,0,260,20.8,182,78,0.3,18,0.0989010989010989,89,0.489010989010989,1.1885998003718161,43,13,13,0,3,4,13.523631732057027,balanced,6,16,4,medium,0.055,latency
2,sync_instruction,Synchronous instructions,amber>mint>cobalt>depot,1,125,10.0,102,23,0.184,0,0.0,0,0.0,0.38986165184112204,10,4,4,0,4,4,7.9897283471953635,balanced,6,16,4,medium,0.055,latency
2,async_online,Asynchronous online,amber>mint>cobalt>depot,1,103,8.24,98,5,0.04854368932038835,0,0.0,0,0.0,0.36768563729454634,10,4,4,0,4,4,6.608672872860035,balanced,6,16,4,medium,0.055,latency
3,direct_blocking,Direct planner actions,mint>amber>depot,1,134,10.72,92,42,0.31343283582089554,14,0.15217391304347827,28,0.30434782608695654,1.3057361833373315,6,7,7,0,3,3,7.738842953157806,balanced,6,16,4,medium,0.055,latency
3,sync_instruction,Synchronous instructions,mint>amber>depot,1,83,6.640000000000001,66,17,0.20481927710843373,0,0.0,0,0.0,0.38976509440826274,2,3,3,0,3,3,5.729546253608158,balanced,6,16,4,medium,0.055,latency
3,async_online,Asynchronous online,mint>amber>depot,1,71,5.68,66,5,0.07042253521126761,5,0.07575757575757576,5,0.07575757575757576,0.33794873293965566,0,3,3,0,3,3,4.958054250567637,balanced,6,16,4,medium,0.055,latency
4,direct_blocking,Direct planner actions,cobalt>mint>depot,1,184,14.72,126,58,0.31521739130434784,6,0.047619047619047616,34,0.2698412698412698,1.2613011838353236,22,10,9,0,3,3,8.905620026737097,balanced,6,16,4,medium,0.055,latency
4,sync_instruction,Synchronous instructions,cobalt>mint>depot,1,73,5.84,56,17,0.2328767123287671,0,0.0,0,0.0,0.46119053626872786,1,3,3,0,3,3,4.7395495200171585,balanced,6,16,4,medium,0.055,latency
4,async_online,Asynchronous online,cobalt>mint>depot,1,66,5.28,61,5,0.07575757575757576,7,0.11475409836065574,7,0.11475409836065574,0.3948708507961485,0,3,3,0,3,3,4.37071463226045,balanced,6,16,4,medium,0.055,latency
5,direct_blocking,Direct planner actions,amber>cobalt>depot,1,179,14.32,125,54,0.3016759776536313,26,0.208,40,0.32,1.1999142394511846,24,9,9,0,3,3,9.30704402489928,balanced,6,16,4,medium,0.055,latency
5,sync_instruction,Synchronous instructions,amber>cobalt>depot,1,119,9.52,102,17,0.14285714285714285,0,0.0,0,0.0,0.29338995415244484,46,3,3,0,3,3,5.513201136651364,balanced,6,16,4,medium,0.055,latency
5,async_online,Asynchronous online,amber>cobalt>depot,1,78,6.24,73,5,0.0641025641025641,6,0.0821917808219178,6,0.0821917808219178,0.3591457033560569,9,3,3,0,3,3,4.942121744817897,balanced,6,16,4,medium,0.055,latency
6,direct_blocking,Direct planner actions,cobalt>amber>mint>depot,1,187,14.96,127,60,0.32085561497326204,21,0.16535433070866143,64,0.5039370078740157,1.2467546763472335,12,10,10,0,4,4,9.763867735131013,balanced,6,16,4,medium,0.055,latency
6,sync_instruction,Synchronous instructions,cobalt>amber>mint>depot,0,260,20.8,249,11,0.04230769230769231,0,0.0,234,0.9397590361445783,0.13766903055390622,0,2,2,0,1,4,1.7598712910068088,balanced,6,16,4,medium,0.055,latency
6,async_online,Asynchronous online,cobalt>amber>mint>depot,0,260,20.8,255,5,0.019230769230769232,6,0.023529411764705882,240,0.9411764705882353,0.12964329929502724,0,3,2,0,1,4,1.4888057693123153,balanced,6,16,4,medium,0.055,latency
7,direct_blocking,Direct planner actions,amber>cobalt>depot,1,154,12.32,106,48,0.3116883116883117,9,0.08490566037735849,23,0.2169811320754717,1.1601828344780398,11,8,8,0,3,3,9.250630595937979,balanced,6,16,4,medium,0.055,latency
