trial,split,severity,support_tasks,method,success,first_attempt_success,solve_attempt,best_completed_phases,attempt1_completed_phases,attempt1_phase_error,final_attempt_phase_error,retry_gain,updates,solved_by_attempt_1,solved_by_attempt_2,solved_by_attempt_3,solved_by_attempt_4
4,near,0.9,4,transition_retrieval,1,0,3,3,0,0.06670730990743083,0.01897670439914501,1,0,0,0,1,1
4,near,0.9,4,phase_dual_memory,1,0,2,3,0,0.06384894419295803,0.03909391810411522,1,0,0,1,1,1
4,near,0.9,4,online_finetune,1,0,4,3,0,0.09362271759215625,0.050997723892867435,1,4,0,0,0,1
5,matched,1.0,4,raw_history,1,1,1,3,3,0.04159910354098844,0.04159910354098844,0,0,1,1,1,1
5,matched,1.0,4,transition_retrieval,1,1,1,3,3,0.029259434181704302,0.029259434181704302,0,0,1,1,1,1
5,matched,1.0,4,phase_dual_memory,1,1,1,3,3,0.030181112700250663,0.030181112700250663,0,0,1,1,1,1
5,matched,1.0,4,online_finetune,1,1,1,3,3,0.015166958478166718,0.015166958478166718,0,1,1,1,1,1
6,shifted,1.2,4,raw_history,0,0,5,1,1,0.10089598930402517,0.07681784030280256,0,0,0,0,0,0
6,shifted,1.2,4,transition_retrieval,0,0,5,2,0,0.06909449876380437,0.05162155307688154,0,0,0,0,0,0
6,shifted,1.2,4,phase_dual_memory,0,0,5,2,0,0.08096323471745855,0.06385271155774547,0,0,0,0,0,0
6,shifted,1.2,4,online_finetune,1,0,4,3,1,0.0688320263790831,0.04313594206603263,1,4,0,0,0,1
7,robust,1.45,4,raw_history,0,0,5,0,0,0.17891228423907246,0.0684002899480704,0,0,0,0,0,0
7,robust,1.45,4,transition_retrieval,0,0,5,1,0,0.13033759268837847,0.05907742437899004,0,0,0,0,0,0
7,robust,1.45,4,phase_dual_memory,0,0,5,2,0,0.1393284344138926,0.06509597821970352,0,0,0,0,0,0
7,robust,1.45,4,online_finetune,0,0,5,0,0,0.14721601982872448,0.08085180612062595,0,5,0,0,0,0
8,near,0.9,4,raw_history,1,0,2,3,1,0.050051605261415416,0.03637649295607056,1,0,0,1,1,1
8,near,0.9,4,transition_retrieval,1,1,1,3,3,0.02366802853778401,0.02366802853778401,0,0,1,1,1,1
8,near,0.9,4,phase_dual_memory,1,1,1,3,3,0.018221488237799417,0.018221488237799417,0,0,1,1,1,1
8,near,0.9,4,online_finetune,1,1,1,3,3,0.045387211268643424,0.045387211268643424,0,1,1,1,1,1
9,matched,1.0,4,raw_history,0,0,5,1,1,0.03638907874924624,0.057058475673063186,0,0,0,0,0,0
9,matched,1.0,4,transition_retrieval,1,1,1,3,3,0.025405109768583525,0.025405109768583525,0,0,1,1,1,1
9,matched,1.0,4,phase_dual_memory,1,1,1,3,3,0.02525722132713409,0.02525722132713409,0,0,1,1,1,1
9,matched,1.0,4,online_finetune,1,0,3,3,1,0.041404870277980385,0.030380118505816428,1,3,0,0,1,1
10,shifted,1.2,4,raw_history,1,0,2,3,1,0.04990826922380591,0.03690218057562237,1,0,0,1,1,1
10,shifted,1.2,4,transition_retrieval,1,0,3,3,1,0.05145655846578802,0.02368981765965322,1,0,0,0,1,1
10,shifted,1.2,4,phase_dual_memory,1,0,2,3,1,0.05886202154897591,0.03199180408816532,1,0,0,1,1,1
10,shifted,1.2,4,online_finetune,1,0,2,3,0,0.05642397528920759,0.04577691874040599,1,2,0,1,1,1
11,robust,1.45,4,raw_history,0,0,5,0,0,0.0667033090316953,0.05017920156085273,0,0,0,0,0,0
11,robust,1.45,4,transition_retrieval,1,0,3,3,1,0.06410129501930983,0.04539830663249849,1,0,0,0,1,1
11,robust,1.45,4,phase_dual_memory,1,0,2,3,1,0.06525889468117883,0.036901940506856155,1,0,0,1,1,1
11,robust,1.45,4,online_finetune,0,0,5,2,1,0.042622338493500764,0.03674768540145935,0,5,0,0,0,0
12,near,0.9,4,raw_history,1,1,1,3,3,0.030541439759126047,0.030541439759126047,0,0,1,1,1,1
12,near,0.9,4,transition_retrieval,1,1,1,3,3,0.01661821757742643,0.01661821757742643,0,0,1,1,1,1
12,near,0.9,4,phase_dual_memory,1,1,1,3,3,0.019699599649794237,0.019699599649794237,0,0,1,1,1,1
12,near,0.9,4,online_finetune,1,1,1,3,3,0.020758453395633925,0.020758453395633925,0,1,1,1,1,1
13,matched,1.0,4,raw_history,1,1,1,3,3,0.019611827150436828,0.019611827150436828,0,0,1,1,1,1
13,matched,1.0,4,transition_retrieval,1,1,1,3,3,0.0028675623084485576,0.0028675623084485576,0,0,1,1,1,1
13,matched,1.0,4,phase_dual_memory,1,1,1,3,3,0.005184490443853579,0.005184490443853579,0,0,1,1,1,1
13,matched,1.0,4,online_finetune,1,1,1,3,3,0.010857655463291557,0.010857655463291557,0,1,1,1,1,1
14,shifted,1.2,4,raw_history,1,1,1,3,3,0.02877577425874134,0.02877577425874134,0,0,1,1,1,1
14,shifted,1.2,4,transition_retrieval,1,1,1,3,3,0.023997373534609304,0.023997373534609304,0,0,1,1,1,1
14,shifted,1.2,4,phase_dual_memory,1,1,1,3,3,0.01753430265738468,0.01753430265738468,0,0,1,1,1,1
14,shifted,1.2,4,online_finetune,1,1,1,3,3,0.027134091053940903,0.027134091053940903,0,1,1,1,1,1
15,robust,1.45,4,raw_history,1,1,1,3,3,0.014578173368013736,0.014578173368013736,0,0,1,1,1,1
15,robust,1.45,4,transition_retrieval,1,1,1,3,3,0.02442342825315623,0.02442342825315623,0,0,1,1,1,1
15,robust,1.45,4,phase_dual_memory,1,1,1,3,3,0.031917349379082874,0.031917349379082874,0,0,1,1,1,1
15,robust,1.45,4,online_finetune,1,1,1,3,3,0.031048006834054623,0.031048006834054623,0,1,1,1,1,1
16,near,0.9,4,raw_history,0,0,5,2,0,0.12533078052040886,0.06360489758256278,0,0,0,0,0,0
16,near,0.9,4,transition_retrieval,1,0,2,3,0,0.08205032367737744,0.03131062707424179,1,0,0,1,1,1
16,near,0.9,4,phase_dual_memory,1,0,2,3,0,0.08658851517774993,0.026813104470455346,1,0,0,1,1,1
16,near,0.9,4,online_finetune,0,0,5,0,0,0.10259679827776323,0.08081246725041832,0,5,0,0,0,0
17,matched,1.0,4,raw_history,1,1,1,3,3,0.03198335088316901,0.03198335088316901,0,0,1,1,1,1
17,matched,1.0,4,transition_retrieval,1,1,1,3,3,0.018881581941662087,0.018881581941662087,0,0,1,1,1,1
17,matched,1.0,4,phase_dual_memory,1,1,1,3,3,0.016586590377836986,0.016586590377836986,0,0,1,1,1,1
17,matched,1.0,4,online_finetune,1,1,1,3,3,0.02724868462292765,0.02724868462292765,0,1,1,1,1,1
18,shifted,1.2,4,raw_history,0,0,5,1,0,0.06864991883019864,0.07582912814605533,0,0,0,0,0,0
18,shifted,1.2,4,transition_retrieval,1,1,1,3,3,0.03615096598167499,0.03615096598167499,0,0,1,1,1,1
18,shifted,1.2,4,phase_dual_memory,1,1,1,3,3,0.048049710374087666,0.048049710374087666,0,0,1,1,1,1
18,shifted,1.2,4,online_finetune,0,0,5,2,2,0.040042303444885234,0.04322794107060787,0,5,0,0,0,0
19,robust,1.45,4,raw_history,0,0,5,2,2,0.06445351464103642,0.05375561626442904,0,0,0,0,0,0
19,robust,1.45,4,transition_retrieval,0,0,5,1,0,0.06203885250404245,0.03987726606716234,0,0,0,0,0,0
19,robust,1.45,4,phase_dual_memory,0,0,5,2,0,0.06182011655753439,0.036394280331719535,0,0,0,0,0,0
19,robust,1.45,4,online_finetune,1,0,3,3,2,0.05635230088799312,0.028651507402570553,1,3,0,0,1,1
20,near,0.9,4,raw_history,1,1,1,3,3,0.029796376053856613,0.029796376053856613,0,0,1,1,1,1
20,near,0.9,4,transition_retrieval,1,1,1,3,3,0.02723106692472681,0.02723106692472681,0,0,1,1,1,1
20,near,0.9,4,phase_dual_memory,1,1,1,3,3,0.027828053270863625,0.027828053270863625,0,0,1,1,1,1
20,near,0.9,4,online_finetune,1,1,1,3,3,0.014540131321336247,0.014540131321336247,0,1,1,1,1,1
21,matched,1.0,4,raw_history,1,1,1,3,3,0.01227500171815125,0.01227500171815125,0,0,1,1,1,1
21,matched,1.0,4,transition_retrieval,1,1,1,3,3,0.01392889270048106,0.01392889270048106,0,0,1,1,1,1
21,matched,1.0,4,phase_dual_memory,1,1,1,3,3,0.018758520027346487,0.018758520027346487,0,0,1,1,1,1
21,matched,1.0,4,online_finetune,1,1,1,3,3,0.023302188438303645,0.023302188438303645,0,1,1,1,1,1
22,shifted,1.2,4,raw_history,1,1,1,3,3,0.033589923098134127,0.033589923098134127,0,0,1,1,1,1
22,shifted,1.2,4,transition_retrieval,1,1,1,3,3,0.026891547749445483,0.026891547749445483,0,0,1,1,1,1
22,shifted,1.2,4,phase_dual_memory,1,1,1,3,3,0.02385706297666036,0.02385706297666036,0,0,1,1,1,1
22,shifted,1.2,4,online_finetune,1,1,1,3,3,0.016875784686700788,0.016875784686700788,0,1,1,1,1,1
23,robust,1.45,4,raw_history,1,0,2,3,0,0.06669035818568986,0.03929681251276353,1,0,0,1,1,1
23,robust,1.45,4,transition_retrieval,1,0,2,3,0,0.07000478577424676,0.024577709569936698,1,0,0,1,1,1
23,robust,1.45,4,phase_dual_memory,1,0,2,3,0,0.07215527263182023,0.032584147951783125,1,0,0,1,1,1
23,robust,1.45,4,online_finetune,1,0,2,3,0,0.06092697066825502,0.032394802038908106,1,2,0,1,1,1
24,near,0.9,4,raw_history,1,1,1,3,3,0.03448789374765445,0.03448789374765445,0,0,1,1,1,1
24,near,0.9,4,transition_retrieval,1,0,4,3,0,0.06788206983053524,0.023098568778549888,1,0,0,0,0,1
24,near,0.9,4,phase_dual_memory,1,0,2,3,2,0.056178913005971415,0.018021467202018294,1,0,0,1,1,1
24,near,0.9,4,online_finetune,1,1,1,3,3,0.02446901161071549,0.02446901161071549,0,1,1,1,1,1
25,matched,1.0,4,raw_history,1,1,1,3,3,0.024922943331434567,0.024922943331434567,0,0,1,1,1,1
25,matched,1.0,4,transition_retrieval,1,1,1,3,3,0.01601441447016806,0.01601441447016806,0,0,1,1,1,1
25,matched,1.0,4,phase_dual_memory,1,1,1,3,3,0.02095509068559431,0.02095509068559431,0,0,1,1,1,1
25,matched,1.0,4,online_finetune,1,0,3,3,0,0.08688936510891668,0.02484075994781353,1,3,0,0,1,1
26,shifted,1.2,4,raw_history,0,0,5,0,0,0.09169370551224518,0.0657762495810881,0,0,0,0,0,0
26,shifted,1.2,4,transition_retrieval,1,1,1,3,3,0.03358257879545818,0.03358257879545818,0,0,1,1,1,1
26,shifted,1.2,4,phase_dual_memory,1,1,1,3,3,0.02952032463833562,0.02952032463833562,0,0,1,1,1,1
26,shifted,1.2,4,online_finetune,1,1,1,3,3,0.031139403463155704,0.031139403463155704,0,1,1,1,1,1
27,robust,1.45,4,raw_history,0,0,5,2,1,0.04800341819679206,0.06127890794103426,0,0,0,0,0,0
27,robust,1.45,4,transition_retrieval,1,0,3,3,1,0.05391209493779476,0.026435485587256936,1,0,0,0,1,1
27,robust,1.45,4,phase_dual_memory,1,0,2,3,1,0.0556158463025878,0.019490492935815756,1,0,0,1,1,1
27,robust,1.45,4,online_finetune,1,0,4,3,1,0.04676112105240487,0.025210076813888798,1,4,0,0,0,1
28,near,0.9,4,raw_history,0,0,5,1,1,0.05254718482121156,0.045044657083681876,0,0,0,0,0,0
28,near,0.9,4,transition_retrieval,1,0,2,3,1,0.0567057238974361,0.027132528731980635,1,0,0,1,1,1
28,near,0.9,4,phase_dual_memory,1,0,2,3,1,0.05334230627189221,0.030869517531495288,1,0,0,1,1,1
28,near,0.9,4,online_finetune,0,0,5,1,1,0.06165498142821749,0.046735097123838,0,5,0,0,0,0
29,matched,1.0,4,raw_history,0,0,5,2,1,0.04649673122994427,0.04018013770120785,0,0,0,0,0,0
29,matched,1.0,4,transition_retrieval,1,0,3,3,2,0.03863019288926143,0.0273962114113855,1,0,0,0,1,1
29,matched,1.0,4,phase_dual_memory,1,0,2,3,2,0.044669713410051166,0.019771802231608973,1,0,0,1,1,1
29,matched,1.0,4,online_finetune,0,0,5,2,2,0.05270566069282131,0.04477266224367949,0,5,0,0,0,0
30,shifted,1.2,4,raw_history,0,0,5,1,1,0.07823204648127553,0.06293767702091431,0,0,0,0,0,0
30,shifted,1.2,4,transition_retrieval,1,0,4,3,0,0.07482864425694667,0.011739772771865215,1,0,0,0,0,1
30,shifted,1.2,4,phase_dual_memory,1,0,2,3,1,0.060502124271398866,0.01726667279224503,1,0,0,1,1,1
30,shifted,1.2,4,online_finetune,1,0,3,3,0,0.06399939469204602,0.026297134170363005,1,3,0,0,1,1
31,robust,1.45,4,raw_history,1,0,4,3,1,0.053600436213206384,0.017549084003378398,1,0,0,0,0,1
31,robust,1.45,4,transition_retrieval,1,0,4,3,2,0.04425481923048507,0.030222143610714406,1,0,0,0,0,1
31,robust,1.45,4,phase_dual_memory,1,0,2,3,2,0.03686117300072945,0.019710870350829735,1,0,0,1,1,1
31,robust,1.45,4,online_finetune,1,0,2,3,1,0.03437925901791933,0.031848791561550856,1,2,0,1,1,1
32,near,0.9,4,raw_history,0,0,5,0,0,0.12373860046789414,0.08756083196757107,0,0,0,0,0,0
32,near,0.9,4,transition_retrieval,0,0,5,1,0,0.13340497167661608,0.06862559056685709,0,0,0,0,0,0
32,near,0.9,4,phase_dual_memory,1,0,3,3,0,0.13819108712268457,0.04601336642151036,1,0,0,0,1,1
32,near,0.9,4,online_finetune,0,0,5,0,0,0.15475391486228018,0.09640797878119937,0,5,0,0,0,0
33,matched,1.0,4,raw_history,1,1,1,3,3,0.03262425675085958,0.03262425675085958,0,0,1,1,1,1
33,matched,1.0,4,transition_retrieval,1,1,1,3,3,0.019912852233691932,0.019912852233691932,0,0,1,1,1,1
33,matched,1.0,4,phase_dual_memory,1,1,1,3,3,0.02486142408797319,0.02486142408797319,0,0,1,1,1,1
33,matched,1.0,4,online_finetune,1,1,1,3,3,0.026569689800659265,0.026569689800659265,0,1,1,1,1,1
34,shifted,1.2,4,raw_history,0,0,5,0,0,0.07726338096351759,0.05695878843167479,0,0,0,0,0,0
34,shifted,1.2,4,transition_retrieval,0,0,5,2,0,0.05892964083026389,0.03727775946348199,0,0,0,0,0,0
34,shifted,1.2,4,phase_dual_memory,1,0,2,3,2,0.05127028501270486,0.023768663538806568,1,0,0,1,1,1
34,shifted,1.2,4,online_finetune,1,0,3,3,2,0.04345422478964889,0.027353713376433025,1,3,0,0,1,1
35,robust,1.45,4,raw_history,0,0,5,2,2,0.051363249811659434,0.04456814983948179,0,0,0,0,0,0
35,robust,1.45,4,transition_retrieval,1,0,2,3,2,0.04418498075736756,0.03260583675741774,1,0,0,1,1,1
35,robust,1.45,4,phase_dual_memory,1,0,2,3,2,0.04055061131890408,0.02472006675237079,1,0,0,1,1,1
35,robust,1.45,4,online_finetune,1,1,1,3,3,0.036190985964057266,0.036190985964057266,0,1,1,1,1,1
36,near,0.9,4,raw_history,1,0,2,3,1,0.059754512107072805,0.0517141944329253,1,0,0,1,1,1
36,near,0.9,4,transition_retrieval,1,1,1,3,3,0.030319339706170814,0.030319339706170814,0,0,1,1,1,1
36,near,0.9,4,phase_dual_memory,1,1,1,3,3,0.02967373372688914,0.02967373372688914,0,0,1,1,1,1
36,near,0.9,4,online_finetune,1,1,1,3,3,0.038638621102297425,0.038638621102297425,0,1,1,1,1,1
37,matched,1.0,4,raw_history,1,0,3,3,0,0.09458256770589014,0.028958854442350957,1,0,0,0,1,1
37,matched,1.0,4,transition_retrieval,1,0,3,3,0,0.06614347254970575,0.017259810948799182,1,0,0,0,1,1
37,matched,1.0,4,phase_dual_memory,1,0,2,3,2,0.06802144032787256,0.033826130012974055,1,0,0,1,1,1
37,matched,1.0,4,online_finetune,1,1,1,3,3,0.023024992557925353,0.023024992557925353,0,1,1,1,1,1
38,shifted,1.2,4,raw_history,1,0,3,3,1,0.0520614550165427,0.022540709134369636,1,0,0,0,1,1
38,shifted,1.2,4,transition_retrieval,1,1,1,3,3,0.021430087906955997,0.021430087906955997,0,0,1,1,1,1
38,shifted,1.2,4,phase_dual_memory,1,1,1,3,3,0.021301106557058053,0.021301106557058053,0,0,1,1,1,1
38,shifted,1.2,4,online_finetune,1,0,2,3,1,0.033636034691664665,0.019197031092274223,1,2,0,1,1,1
39,robust,1.45,4,raw_history,0,0,5,0,0,0.0784941528725683,0.055379154291554364,0,0,0,0,0,0
39,robust,1.45,4,transition_retrieval,1,0,4,3,0,0.08028493766138897,0.018680473564639748,1,0,0,0,0,1
39,robust,1.45,4,phase_dual_memory,1,0,3,3,0,0.0734121128580743,0.02453026136783998,1,0,0,0,1,1
39,robust,1.45,4,online_finetune,1,0,2,3,0,0.065359392024736,0.04291174435902132,1,2,0,1,1,1
40,near,0.9,4,raw_history,1,0,3,3,2,0.03093675672150036,0.03336093466063262,1,0,0,0,1,1
40,near,0.9,4,transition_retrieval,1,1,1,3,3,0.02212765890193724,0.02212765890193724,0,0,1,1,1,1
40,near,0.9,4,phase_dual_memory,1,1,1,3,3,0.009984765648500033,0.009984765648500033,0,0,1,1,1,1
40,near,0.9,4,online_finetune,1,1,1,3,3,0.013397732901210971,0.013397732901210971,0,1,1,1,1,1
41,matched,1.0,4,raw_history,0,0,5,1,1,0.06335898555862894,0.07233454811183812,0,0,0,0,0,0
41,matched,1.0,4,transition_retrieval,1,0,2,3,1,0.04178786281416121,0.03605222901708966,1,0,0,1,1,1
41,matched,1.0,4,phase_dual_memory,1,0,2,3,1,0.04104707358787752,0.029305782183061745,1,0,0,1,1,1
41,matched,1.0,4,online_finetune,1,0,2,3,1,0.04055690768616828,0.038311621921984666,1,2,0,1,1,1
42,shifted,1.2,4,raw_history,0,0,5,2,2,0.040855194791599,0.03146379918236317,0,0,0,0,0,0
42,shifted,1.2,4,transition_retrieval,1,0,3,3,2,0.04071408268396239,0.031016062622326687,1,0,0,0,1,1
42,shifted,1.2,4,phase_dual_memory,1,0,2,3,2,0.050115305095854934,0.019913993054944103,1,0,0,1,1,1
42,shifted,1.2,4,online_finetune,1,1,1,3,3,0.0413910504215474,0.0413910504215474,0,1,1,1,1,1
43,robust,1.45,4,raw_history,0,0,5,0,0,0.14658166178377913,0.11140983045063749,0,0,0,0,0,0
43,robust,1.45,4,transition_retrieval,0,0,5,1,0,0.07800428483567895,0.05975684690833251,0,0,0,0,0,0
43,robust,1.45,4,phase_dual_memory,1,0,3,3,0,0.08297844873050969,0.045987225114551916,1,0,0,0,1,1
43,robust,1.45,4,online_finetune,0,0,5,2,0,0.059916527663231106,0.058794934226696176,0,5,0,0,0,0
44,near,0.9,4,raw_history,1,0,2,3,2,0.050913693571272546,0.022162558991897476,1,0,0,1,1,1
44,near,0.9,4,transition_retrieval,1,0,3,3,2,0.04753981988460593,0.030753613319527556,1,0,0,0,1,1
44,near,0.9,4,phase_dual_memory,1,1,1,3,3,0.03868559728036327,0.03868559728036327,0,0,1,1,1,1
44,near,0.9,4,online_finetune,1,0,2,3,1,0.04142908287499842,0.03540743448205768,1,2,0,1,1,1
45,matched,1.0,4,raw_history,1,0,2,3,1,0.0662745531403238,0.04416252961833588,1,0,0,1,1,1
45,matched,1.0,4,transition_retrieval,1,1,1,3,3,0.05168302330883637,0.05168302330883637,0,0,1,1,1,1
45,matched,1.0,4,phase_dual_memory,1,0,2,3,2,0.049444501415636,0.01825732543644572,1,0,0,1,1,1
45,matched,1.0,4,online_finetune,1,0,3,3,0,0.07524062530224712,0.05455399856295925,1,3,0,0,1,1
46,shifted,1.2,4,raw_history,1,0,2,3,2,0.04648305979478443,0.035567778867191306,1,0,0,1,1,1
46,shifted,1.2,4,transition_retrieval,1,0,2,3,2,0.03962165945412626,0.03066830267346075,1,0,0,1,1,1
46,shifted,1.2,4,phase_dual_memory,1,0,2,3,2,0.0406825241955153,0.020547654799740505,1,0,0,1,1,1
46,shifted,1.2,4,online_finetune,1,0,4,3,2,0.033717511232278334,0.036265130265128565,1,4,0,0,0,1
47,robust,1.45,4,raw_history,0,0,5,2,0,0.052584067839542434,0.09887030178318534,0,0,0,0,0,0
47,robust,1.45,4,transition_retrieval,0,0,5,2,0,0.04992044793220303,0.04383577151412533,0,0,0,0,0,0
47,robust,1.45,4,phase_dual_memory,0,0,5,2,2,0.08022138014833073,0.027729235559057815,0,0,0,0,0,0
47,robust,1.45,4,online_finetune,0,0,5,2,0,0.0846378807782779,0.07918273210771525,0,5,0,0,0,0
48,near,0.9,4,raw_history,1,1,1,3,3,0.033812785538395125,0.033812785538395125,0,0,1,1,1,1
48,near,0.9,4,transition_retrieval,1,1,1,3,3,0.044189036212063194,0.044189036212063194,0,0,1,1,1,1
48,near,0.9,4,phase_dual_memory,1,1,1,3,3,0.04245967598337557,0.04245967598337557,0,0,1,1,1,1
48,near,0.9,4,online_finetune,1,1,1,3,3,0.03816580160027259,0.03816580160027259,0,1,1,1,1,1
49,matched,1.0,4,raw_history,0,0,5,0,0,0.08660357094744021,0.06187662130956233,0,0,0,0,0,0
49,matched,1.0,4,transition_retrieval,1,0,2,3,0,0.06442714557701833,0.03583031998277701,1,0,0,1,1,1
49,matched,1.0,4,phase_dual_memory,1,0,3,3,0,0.08074964699591657,0.017671625356931606,1,0,0,0,1,1
49,matched,1.0,4,online_finetune,1,1,1,3,3,0.02509983162979064,0.02509983162979064,0,1,1,1,1,1
50,shifted,1.2,4,raw_history,1,0,2,3,2,0.05063773916772044,0.022399162817295187,1,0,0,1,1,1
50,shifted,1.2,4,transition_retrieval,1,1,1,3,3,0.02780057250902625,0.02780057250902625,0,0,1,1,1,1
50,shifted,1.2,4,phase_dual_memory,1,1,1,3,3,0.028311892072725605,0.028311892072725605,0,0,1,1,1,1
50,shifted,1.2,4,online_finetune,1,1,1,3,3,0.025105870675542777,0.025105870675542777,0,1,1,1,1,1
51,robust,1.45,4,raw_history,0,0,5,2,1,0.04527935708647693,0.05299827557039979,0,0,0,0,0,0
51,robust,1.45,4,transition_retrieval,1,0,2,3,2,0.05640486311411075,0.037062976222193934,1,0,0,1,1,1
51,robust,1.45,4,phase_dual_memory,1,0,3,3,2,0.046644404292309614,0.023364461796420766,1,0,0,0,1,1
51,robust,1.45,4,online_finetune,0,0,5,2,2,0.0642878519905584,0.037948827804051725,0,5,0,0,0,0
52,near,0.9,4,raw_history,0,0,5,2,2,0.04747818048105249,0.05986179495693535,0,0,0,0,0,0
52,near,0.9,4,transition_retrieval,1,1,1,3,3,0.02929414385457656,0.02929414385457656,0,0,1,1,1,1
52,near,0.9,4,phase_dual_memory,1,1,1,3,3,0.03765853620357295,0.03765853620357295,0,0,1,1,1,1
52,near,0.9,4,online_finetune,1,1,1,3,3,0.03998110749136921,0.03998110749136921,0,1,1,1,1,1
53,matched,1.0,4,raw_history,1,1,1,3,3,0.04431343495231593,0.04431343495231593,0,0,1,1,1,1
53,matched,1.0,4,transition_retrieval,1,1,1,3,3,0.02826824509890838,0.02826824509890838,0,0,1,1,1,1
53,matched,1.0,4,phase_dual_memory,1,1,1,3,3,0.02945616851805652,0.02945616851805652,0,0,1,1,1,1
53,matched,1.0,4,online_finetune,0,0,5,2,2,0.04517450290726324,0.030312426862840292,0,5,0,0,0,0
54,shifted,1.2,4,raw_history,1,0,3,3,0,0.06608293668803125,0.03347280444944012,1,0,0,0,1,1
54,shifted,1.2,4,transition_retrieval,1,0,2,3,1,0.03593688393337024,0.017984054368232416,1,0,0,1,1,1
54,shifted,1.2,4,phase_dual_memory,1,1,1,3,3,0.022485495174943828,0.022485495174943828,0,0,1,1,1,1
54,shifted,1.2,4,online_finetune,1,1,1,3,3,0.028013760029741864,0.028013760029741864,0,1,1,1,1,1
55,robust,1.45,4,raw_history,0,0,5,2,0,0.06139102698887783,0.05624867321079202,0,0,0,0,0,0
55,robust,1.45,4,transition_retrieval,1,1,1,3,3,0.007584051518483251,0.007584051518483251,0,0,1,1,1,1
55,robust,1.45,4,phase_dual_memory,1,1,1,3,3,0.012695221568563004,0.012695221568563004,0,0,1,1,1,1
55,robust,1.45,4,online_finetune,1,0,2,3,2,0.044537309362006165,0.024516834787853315,1,2,0,1,1,1
56,near,0.9,4,raw_history,1,1,1,3,3,0.02696695865196985,0.02696695865196985,0,0,1,1,1,1
56,near,0.9,4,transition_retrieval,1,1,1,3,3,0.02310027533576162,0.02310027533576162,0,0,1,1,1,1
56,near,0.9,4,phase_dual_memory,1,1,1,3,3,0.029565790179783755,0.029565790179783755,0,0,1,1,1,1
56,near,0.9,4,online_finetune,1,1,1,3,3,0.03286944099543975,0.03286944099543975,0,1,1,1,1,1
57,matched,1.0,4,raw_history,0,0,5,2,2,0.05159910566589206,0.06307544075586338,0,0,0,0,0,0
57,matched,1.0,4,transition_retrieval,1,0,3,3,2,0.0483974982072388,0.04271023140734914,1,0,0,0,1,1
57,matched,1.0,4,phase_dual_memory,1,0,2,3,2,0.05209918504110659,0.01958021236567415,1,0,0,1,1,1
57,matched,1.0,4,online_finetune,0,0,5,2,2,0.052634165052691397,0.042694271454599975,0,5,0,0,0,0
58,shifted,1.2,4,raw_history,1,1,1,3,3,0.034362740405226515,0.034362740405226515,0,0,1,1,1,1
58,shifted,1.2,4,transition_retrieval,1,1,1,3,3,0.04192176925505997,0.04192176925505997,0,0,1,1,1,1
58,shifted,1.2,4,phase_dual_memory,1,1,1,3,3,0.03971967661468127,0.03971967661468127,0,0,1,1,1,1
58,shifted,1.2,4,online_finetune,1,0,2,3,1,0.05808739285078739,0.0457426415300276,1,2,0,1,1,1
59,robust,1.45,4,raw_history,0,0,5,2,0,0.13064223727859292,0.04797901447331039,0,0,0,0,0,0
